Feature,imbalance_prices - Long_t+15min,imbalance_prices - Short_t+15min,imbalance_volumes - value_t+15min,imbalance_prices - Long_t+30min,imbalance_prices - Short_t+30min,imbalance_volumes - value_t+30min,imbalance_prices - Long_t+45min,imbalance_prices - Short_t+45min,imbalance_volumes - value_t+45min,imbalance_prices - Long_t+60min,imbalance_prices - Short_t+60min,imbalance_volumes - value_t+60min,imbalance_prices - Long_t+75min,imbalance_prices - Short_t+75min,imbalance_volumes - value_t+75min
hour,0.004282890619150748,0.0063574845896705486,0.003948640212545115,0.0017118012239579912,0.00819822551781772,0.006174508500027514,0.0051765573060462205,0.0013918324404662598,0.004658841541584479,0.0030374299654067727,0.0012493128381192947,0.004462925347977489,0.00490827616916522,0.004966712431732248,0.002594415874371634
dayofweek,0.0019365996165398656,0.004705805325293113,0.0042786365723159175,0.0035589441328274917,0.0019610423781300595,0.0037638043727829425,0.0017782501005610242,0.002195474125576311,0.003271891732476881,0.0016320275231826002,0.0029533033169964256,0.0026323795324706225,0.002580626873696019,0.0043482267556794905,0.002121984385190444
dayofweek_sin,0.0015326637280741124,0.002634871981930701,0.004590808569886576,0.003180135328263077,0.0021493455572001493,0.0062172097163347645,0.00151684758471265,0.0023781651376352784,0.0049672116933797954,0.0015247230587084458,0.00230480337905351,0.004173457802318012,0.0010174864337632243,0.00256862772823888,0.005620279324716648
dayofweek_cos,0.0029772863413001574,0.0011964198236530592,0.0028764965295740696,0.0014127925325052501,0.0029507468227802747,0.0031081383205549856,0.002276851999846258,0.0017376565568647494,0.0029197079855521222,0.002641065706094423,0.0021017412608946417,0.001506286836574418,0.0011889891019818606,0.0012638302612372173,0.0019314691130821301
day_of_year,0.020906109066658247,0.022867520340401824,0.003769399188866373,0.020328865224335458,0.021293206898088102,0.00573160277848001,0.02044187049484026,0.018454270162357716,0.00376489620731536,0.024420861976514063,0.02409325440880639,0.004465115260875791,0.01983988667806261,0.020828160349497922,0.00471653796274586
is_holiday,0.0004894344957629642,0.001006948659937109,0.002406223162118863,0.0012931255547225645,0.0005387096090007617,0.002141994639053678,0.0005128199049432283,0.0008772079038437823,0.002259954947222468,0.001181077776216398,0.0008089459689095406,0.001401644724023754,0.0010889745025115189,0.0009501008195595659,0.0012714580882743575
generation - Other renewable - Actual Consumption,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
generation_import - Generation - Hydro Water Reservoir,0.013885666041565855,0.01930749695776467,0.03508881574438419,0.010191067957333872,0.012580879571803961,0.025474756251052014,0.011546390746194618,0.011139751257258468,0.02287018388182332,0.010809468927247507,0.011269394596405618,0.013922787828618312,0.01071108207726502,0.007866482303055818,0.008090784251195146
generation_import - Import - SI,0.003787646127399057,0.003944431821786566,0.010263852603849955,0.0022163654607284117,0.0033255910766893065,0.009954129457622458,0.004005915581867157,0.0035648067172878656,0.00923795405686178,0.00285084132978227,0.003097724354855018,0.008533792746427935,0.0014724140127091233,0.0015261630964359938,0.0044684370702716475
generation_import - Import - IT_NORD,0.0007356008483970981,0.0011518642291239302,0.0022279419287556264,0.0006588206927617648,0.000668742111339367,0.001376087043061716,0.0017280918219163652,0.0004245171481493344,0.0018203829315886395,0.0007042787065043115,0.001257959611602928,0.0015359543289323483,0.0007494904890177167,0.000838405141608689,0.001596809728200242
intraday_wind_and_solar_forecast - Wind Onshore,0.003207475209250333,0.00537218904571273,0.014353681783683441,0.0026249217429715373,0.0026043665688191596,0.013565816124612867,0.005166366820652911,0.005615150082285254,0.011946011449729326,0.0026953970361716984,0.005456375830632168,0.006650825322409218,0.0028013055764126876,0.0015230963302873305,0.00508281420556159
generation_import - Import - HU,0.004273579240471008,0.0057469191548007075,0.009548071756667923,0.0048068967806757425,0.00530216947691224,0.00624715130282857,0.006054986881332297,0.005143422832770739,0.006076852641563164,0.005343523858591652,0.004683719517171994,0.004175990401213312,0.006254413140617544,0.003982445018795261,0.00181979768376641
generation - Other renewable - Actual Aggregated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
activated_balancing_energy_prices - Price,0.012584081915643764,0.0136485226607183,0.008281740999598696,0.010281024422627525,0.010232988492862204,0.006841489875945626,0.009504783823591424,0.011189584797117277,0.005032766551812529,0.008126362315972073,0.00930750322263748,0.004929853913727129,0.007604180678254124,0.008372505339938016,0.0008831023004590861
generation - Hydro Pumped Storage - Actual Consumption,0.0014889542665805493,0.0012231772307625306,0.005226223532233689,0.002393010184803643,0.0020599232237891556,0.008415019098029006,0.0015943295251463496,0.002574274394778456,0.009891257879593468,0.0026937307335945207,0.001947047495365041,0.005235994308797671,0.0012545442623106736,0.004058062049371074,0.00598606228726203
wind_and_solar_forecast - Solar,0.01012906889867736,0.009509492280958511,0.004586266043481373,0.008392474852749729,0.002125275533334561,0.003915125869098119,0.005130216510005994,0.006101674790848847,0.0038016382513833377,0.009139877283858368,0.0024391296517924273,0.004797906386365867,0.0027127474871208508,0.004519686647559865,0.0032724968394104506
