Feature,imbalance_prices - Long_t+15min,imbalance_prices - Short_t+15min,imbalance_volumes - value_t+15min,imbalance_prices - Long_t+30min,imbalance_prices - Short_t+30min,imbalance_volumes - value_t+30min,imbalance_prices - Long_t+45min,imbalance_prices - Short_t+45min,imbalance_volumes - value_t+45min,imbalance_prices - Long_t+60min,imbalance_prices - Short_t+60min,imbalance_volumes - value_t+60min,imbalance_prices - Long_t+75min,imbalance_prices - Short_t+75min,imbalance_volumes - value_t+75min
hour,0.007411064880055164,0.005221484396365526,0.005090256831475927,0.009471781712396477,0.005526482860559554,0.008003537716242704,0.006302154233664623,0.0031726903981725628,0.009041594813170377,0.013354370340196738,0.003251743022530718,0.007019461489941023,0.02308614949241746,0.006780978977621999,0.004606184592512363
dayofweek,0.018846447444986553,0.006320885024510062,0.008612824993109825,0.02302789666643366,0.004333279265999408,0.008880596069378953,0.0178253325579426,0.003105872538827498,0.008170886596342825,0.015165615130179503,0.00476898291714133,0.007638884208156923,0.009990006459043797,0.003491218270164609,0.008343126105213742
dayofweek_sin,0.007270591395588781,0.008794446906411395,0.011393051603421554,0.009307053484922563,0.01003385953464067,0.013163377430336368,0.008914601973046957,0.007746033701640954,0.012334622895823487,0.009274962165371561,0.015837331962771713,0.011228107872208057,0.009414640939605305,0.01553018897088623,0.010498623883042455
dayofweek_cos,0.013637313483341131,0.01969374749448616,0.011804186500390642,0.013091480503528145,0.020502965334046167,0.01006592866185747,0.010989075344486992,0.019451342188287528,0.010581185555854973,0.00966323087400815,0.018856227737589507,0.010242541007595718,0.006767023026106472,0.01941662624955643,0.008060089536197666
day_of_year,0.048899909242987635,0.09945001953840256,0.022187202558741775,0.061427546713501216,0.10500355256348848,0.017817115445621312,0.0682596591040492,0.1153263283520937,0.01477633374101424,0.07004364066198468,0.11296094777435065,0.016854261990403758,0.07861788540706038,0.09821952148526907,0.014684864645048947
is_holiday,0.005518465990200639,0.0036715278492774816,0.001836331160258851,0.006023422747850418,0.004345403694082052,0.0014655165821884566,0.005872864005155861,0.004036245344439521,0.0011151652052958526,0.005813695726916194,0.002907241371809505,0.001078449717616877,0.005229753384832293,0.0027467628222657367,0.0009212731874858946
generation_import - Generation - Hydro Water Reservoir,0.019365328030020463,0.010280111824395135,0.028771607475704515,0.01535756492560904,0.008748677992542071,0.02350842884441954,0.00808607483674723,0.010517682140867691,0.016089465947938152,0.005604406866925501,0.0052923783806963914,0.005991929056176105,0.004539880750351585,0.0019559470712356415,0.005674537673591658
intraday_wind_and_solar_forecast - Wind Onshore,0.0025355807450855535,0.001661705874400468,0.005635241818759823,0.0027915098884859616,0.0015768596111668102,0.00605491280980641,0.004834418776790699,0.0018717652707809975,0.005488068867103721,0.006489960705701378,0.0031564200034699752,0.006100187241960157,0.004123272766761602,0.0027863733277172288,0.003178087214308249
generation_import - Generation - Hydro Run-of-river and poundage,0.01811652870196849,0.023122392273326114,0.004597262058956403,0.021371149725775467,0.018551774386287433,0.009381454125801839,0.02213588969653938,0.016555395786039297,0.007056243798730066,0.023202741791610606,0.014405213206613553,0.007586267889932515,0.02117575338104507,0.016827530188245874,0.009424558918108233
generation_import - Import - ME,0.005446044979771613,0.0037788293939102005,0.007218263670838496,0.008069062711168954,0.004470224517325733,0.0038826643656839225,0.012163435985050455,0.0064685280491103185,0.004767163768678074,0.01204618243670484,0.005406914165150738,0.006092521055618818,0.010372396260729147,0.005704735103245184,0.005783314464735668
