Feature,imbalance_prices - Long_t+15min,imbalance_prices - Short_t+15min,imbalance_volumes - value_t+15min,imbalance_prices - Long_t+30min,imbalance_prices - Short_t+30min,imbalance_volumes - value_t+30min,imbalance_prices - Long_t+45min,imbalance_prices - Short_t+45min,imbalance_volumes - value_t+45min,imbalance_prices - Long_t+60min,imbalance_prices - Short_t+60min,imbalance_volumes - value_t+60min,imbalance_prices - Long_t+75min,imbalance_prices - Short_t+75min,imbalance_volumes - value_t+75min
hour,0.02568946446332848,0.023636741025569792,0.030717315322719513,0.022949148613763556,0.022395477496786043,0.025818827992887237,0.019547562832362017,0.020286672757996713,0.017621145939221605,0.025473848511363032,0.024610273117603356,0.029124329837686674,0.02184984118702414,0.022460604664676795,0.018873228243701305
dayofweek,0.00597642975214689,0.005492746284980285,0.007947152774679125,0.005205363663793833,0.0055081256393496,0.004550016758225638,0.005568657242914924,0.00446791991105897,0.004291755677516903,0.010134942280608811,0.01040195446889993,0.011236877104711312,0.008829936314337828,0.009565946297509072,0.0095183202177177
dayofweek_sin,0.006821197408676255,0.007296249762528532,0.006588115106143959,0.00561914634509958,0.006213239810081803,0.005756673723648874,0.007687758048714159,0.0072358510049837154,0.009592931465393122,0.010478881892127902,0.011927278518433013,0.01118059454522563,0.00962816872778052,0.011384612526893136,0.009211078581040965
dayofweek_cos,0.0053076402131082435,0.005362251364664189,0.007897394861072826,0.0052361786251208286,0.0049997768205230384,0.006152211573109071,0.005069641066338591,0.004742506879127177,0.006977860598206917,0.004193367425215456,0.004275485722548183,0.0055126032940952426,0.00430812672672107,0.0040803656825942345,0.004244032401438744
day_of_year,0.005633599598337241,0.005840992890065081,0.006271018992464633,0.004906752912531374,0.005502300248836036,0.005599644441157579,0.003619094652701733,0.0034456969245411527,0.004063121949246124,0.004321482399620436,0.0038634012033474507,0.003964574682480361,0.0057190550555424125,0.005403233978289791,0.00648724811070133
is_holiday,0.0013691633667699534,0.0014612284676265971,0.001963127957423126,0.001182434039342752,0.0010283546067084899,0.0013753894271062563,0.0010553034796239444,0.001213830564549653,0.0017282820646555592,0.001350228563513383,0.0010768144911727404,0.0014753576616884062,0.001330241857869396,0.001184052853220237,0.00154864630434804
generation_import - Generation - Hydro Run-of-river and poundage,0.011570822224974108,0.007516716803984309,0.0070909950731511346,0.006085808642412303,0.004517645295247803,0.005371024322324956,0.00596979619517515,0.004955021555109852,0.003814710904533058,0.0038144685531624417,0.004913098685456134,0.005991930318508821,0.0031286623442019846,0.0027910480974373967,0.004808885672103315
generation_import - Generation - Solar,0.18587158841197016,0.1835207381635628,0.27726362740946936,0.17801998913532588,0.17788936056752572,0.24675383108574897,0.1446971610103501,0.13963383395643905,0.16454584829322993,0.10978098712326027,0.11252693753223866,0.11144382339314325,0.1295540295226674,0.1267043962222524,0.16682876489614137
import - DE_LU,0.017084683109627803,0.014045431392645696,0.025472884938004425,0.015866574546713308,0.017797655329588453,0.023061888188123703,0.012982813664639253,0.010845669695321703,0.014042841710906941,0.012378328509945276,0.008734669896206469,0.014257566584565212,0.01288723007432418,0.00990231200560811,0.0164399147927179
100m_wind_speed_mean,0.006811554928719716,0.008271784277010965,0.009896351008224884,0.004617364459760665,0.005615115918638822,0.003990690361817542,0.014331636551194606,0.011822990160173503,0.01737854561326094,0.014007397985132229,0.016095691394770257,0.022493980206862035,0.006635495060665562,0.0021755662148486153,0.006489724961619686
import - sum,0.007075024834889519,0.009058878563263534,0.014404225069694803,0.012380009436603358,0.005950282239929948,0.012636963064439897,0.0055813356117869264,0.007129584537320625,0.008193386635735806,0.013568700268713655,0.013245894598962877,0.012780109886327409,0.009383245042306953,0.011869345994856303,0.011117392083313462
generation_import - Import - sum,0.024996982557840965,0.022630275444083962,0.01826904596919303,0.023020878829644063,0.01968922423889853,0.019919369829588505,0.013810349196979587,0.010907878479417831,0.008012893995626654,0.022727548131048932,0.026016201495833228,0.03175144333249409,0.02953565458396406,0.025928797836644663,0.027448626424040414
10m_wind_speed_mean,0.008961705531990447,0.005903571457758517,0.011430091627975343,0.009311693357434706,0.007216881331198238,0.010892427871891415,0.009671982868658233,0.009486329468723851,0.012285078015906038,0.016991993904463015,0.017854615025851672,0.02267468756699236,0.01594563603855204,0.017042019339441793,0.016515081777361048
generation_import - Generation - Wind Offshore,0.13378469821240288,0.13263810152874794,0.20118371302948798,0.11768880918202922,0.1171356123813166,0.16584396812150953,0.09400114357797429,0.09158657834104088,0.12184416875528405,0.07568531468234141,0.07805015217948676,0.08190040867778589,0.08485042709103437,0.0837925674514554,0.11083656195786898
generation_import - Generation - Fossil Gas,0.09099743484461215,0.0859879233033862,0.11458106006402523,0.08654001759854145,0.0881821249112836,0.10673231602215674,0.07320003133645514,0.07734001525219356,0.07976318224682473,0.06944300363073125,0.06637153325765394,0.06289927336887922,0.0734283744241111,0.07321613893855829,0.07490946282166988
generation_import - Generation - Nuclear,0.01105227594109283,0.017731471387683995,0.010003685950898216,0.013951141085943164,0.012434570362180238,0.013976423282005272,0.011763040294899838,0.015196416146707633,0.01993031043696101,0.009570901713076637,0.013520390436094203,0.0074745801101598775,0.007228402616568928,0.009044365610359819,0.0058764582814742426
generation_import - Generation - Wind Onshore,0.03394044171614223,0.0377513238027459,0.06484468426945386,0.03642941381389392,0.03767227626015665,0.06463735994447779,0.03322097391222633,0.032250075373143776,0.05474735445261831,0.028033149434282676,0.027706376889138483,0.039847757022565926,0.03234902524179779,0.033353474042814926,0.044645674992061686
load - Actual Load,0.057956644247140504,0.056496734626533,0.09914103806868661,0.04406798408355098,0.046381181496952195,0.0672971491276694,0.03900082222768106,0.040102945314552926,0.05159159933408955,0.04527713322496857,0.04226323955001135,0.059977151073399,0.04321806794741133,0.04187691820340115,0.0653164938777918
100m_wind_speed_std,0.003057711704581607,0.0030043591856356217,0.004570124402749571,0.003976647245777712,0.004286378297218107,0.014757322816609303,0.003960113609033215,0.0035213041777024047,0.0123486361818359,0.0032450021914286254,0.0068722568340781436,0.008807057974157942,0.004668935104706179,0.002808616746584221,0.005601110512639024
generation_import - Generation - Biomass,0.005378451982887327,0.005177058053275687,0.00735176649755158,0.009614877754669578,0.005316203488679093,0.008806407739084534,0.005485954429572757,0.004499082915936014,0.005495697197467962,0.003507685211054195,0.005506041377559541,0.005733641831959175,0.0036127583794004748,0.0036911173739263177,0.006390822972003662
load_forecast - Forecasted Load,0.011217710617936973,0.0067952720142875475,0.010614733743110264,0.004779501724702641,0.007584091705590254,0.0074650181574616,0.011721557978715281,0.009414001741693937,0.018228405247698903,0.01586611169594107,0.01233239847601908,0.020979223939481016,0.013622499848777806,0.015302185607044522,0.01641608077743149
