Feature,imbalance_prices - Long_t+15min,imbalance_prices - Short_t+15min,imbalance_volumes - value_t+15min,imbalance_prices - Long_t+30min,imbalance_prices - Short_t+30min,imbalance_volumes - value_t+30min,imbalance_prices - Long_t+45min,imbalance_prices - Short_t+45min,imbalance_volumes - value_t+45min,imbalance_prices - Long_t+60min,imbalance_prices - Short_t+60min,imbalance_volumes - value_t+60min,imbalance_prices - Long_t+75min,imbalance_prices - Short_t+75min,imbalance_volumes - value_t+75min
hour,0.02222041152487509,0.02982082208688371,0.15229946609365289,0.024681338318740018,0.02997551772897714,0.13415656153927558,0.02798328532047162,0.031215783020074012,0.12749719705973986,0.03411417093627096,0.0433836375818064,0.18208091898891143,0.035643567505059766,0.045076214571541644,0.178616115016408
dayofweek,0.010417789812503542,0.007841434615962498,0.019764381697284988,0.01180659417986817,0.007318764689400268,0.0215209735825847,0.011076123877479858,0.010194101403338209,0.021297928629248418,0.013346929435860147,0.009341150743084881,0.027638956730508653,0.012882275070303876,0.008220283529437438,0.02814629857230466
dayofweek_sin,0.005022503500033053,0.0061709652318731965,0.01557811347162351,0.005465918811516986,0.0057202589286180225,0.017047751875128598,0.005452331924072496,0.006570320229549907,0.019686652254575165,0.006547644199672504,0.005832102959928307,0.026547084938683838,0.006011830276420369,0.005676556425176386,0.024879848844713705
dayofweek_cos,0.012146399220693637,0.00396168082180975,0.011667280875020197,0.011073096623858874,0.0036900780100950215,0.012704255743214161,0.010646267838557833,0.004228553762053707,0.014889064848030103,0.01095703149714609,0.004663477360743855,0.01633093270985046,0.012219179430518125,0.006564814871673662,0.019919905354021467
day_of_year,0.008594879070465595,0.011358356956779971,0.025704480602580588,0.009796491864421114,0.011146426602179417,0.02523950827732915,0.009617943509180804,0.011411377923053806,0.027705811892461497,0.01122330128975591,0.011294007057113049,0.03577854534899234,0.011469209919617925,0.01216578723991188,0.03739724825479061
is_holiday,0.002159883687081674,0.0008186934306823766,0.002209395418481108,0.002112749055653694,0.000696688511338607,0.002379941855898778,0.00224748097822976,0.0007049779830904583,0.002941691953510599,0.0023023931157740663,0.0008903129201480624,0.002774203113916201,0.0023683421829118743,0.0011693250649766468,0.0025765932007361697
ssrd_std_j_m2,0.007121550671705336,0.0053034740653984044,0.017318991932526843,0.00922587557303632,0.005633752541743206,0.018001903392774694,0.008302796513838985,0.004560112419687357,0.017272570588698726,0.015234449401577876,0.006403040490446074,0.05790050573673216,0.01198556301372082,0.004427383505561693,0.037293812616990184
10m_wind_speed_std,0.009166859711134748,0.006120374071011156,0.023230111208802556,0.007809784712895634,0.007114505455076142,0.022618677522033975,0.009118875438214673,0.006957122271505796,0.01068539071522548,0.008922012394269586,0.004522859840892125,0.012509699244907097,0.010370676723177895,0.003818440998199094,0.014698479129794578
10m_wind_speed_mean,0.004578115264402129,0.0032713699180749243,0.02886872724621571,0.006431274841061168,0.004050249650814976,0.02026283345712727,0.006885743271801402,0.004687641089813951,0.018329319421900435,0.005342506649337338,0.005349185869521534,0.016527764726386066,0.008086555552479694,0.0029763702306472625,0.016182694135852216
ssrd_mean_j_m2,0.020610360985097942,0.02253730044042459,0.04471404587947472,0.013442569889378319,0.012121902303333628,0.027116935032214316,0.016942016258653894,0.023201010658682207,0.05976821343394113,0.04225851302931824,0.04695587008915027,0.2455311340931803,0.034585942458012144,0.0329840967527125,0.15544446407584472
temperature_mean_celsius,0.021427733296466613,0.007115521384788735,0.19166017539735186,0.02140122961700399,0.009988833884537598,0.21788708474847954,0.014997203570674173,0.00853403008857049,0.16325770848011598,0.017225128080372996,0.010959476541040203,0.20346767857694067,0.016714252520650917,0.01059654411599331,0.17593234390113502
activated_balancing_energy_prices - Price,0.0034812793001674437,0.0022012916153898916,0.0027383492182962072,0.0026690271266111266,0.001535149854500105,0.0025256637593602136,0.002801707971111682,0.002120454265053468,0.0023883079863626336,0.0037093270016584938,0.002542537851279121,0.004403135289234342,0.00372103617256289,0.002662997801547988,0.0039355405960964165
temperature_std_celsius,0.011951237045257586,0.014818446137476713,0.07651319842314115,0.009714155914267395,0.006569968085397704,0.06710669495527827,0.007094563254646346,0.008453454781480104,0.04479228669520853,0.009381884569420436,0.014331873255323445,0.08510661754320609,0.012937834053707775,0.01380804780190192,0.09437617020359904
100m_wind_speed_std,0.0036178493493389395,0.004576910710151878,0.014701757984454162,0.003512950395455846,0.004317729731381178,0.01756825168885189,0.00968894853247184,0.004746640783996554,0.015853061265370342,0.004949945667342945,0.006032985699384995,0.03865099811236723,0.0038926206372234444,0.006188839156478935,0.016775181680321112
100m_wind_speed_mean,0.005630156304849152,0.00516325818886071,0.02110839259530985,0.004558875049325252,0.0065224663952794795,0.010989843905976158,0.003880759835116578,0.004431435877218518,0.010919850291995544,0.0031216032278853162,0.007448039695249463,0.039206392678832344,0.003958654925267183,0.005711916743297593,0.012251751138555846
100m_wind_speed_mean_t-150min,0.005801107471391617,0.005184030900630205,0.021653389643732226,0.004450501297014853,0.009333915875971797,0.019061140912861447,0.005738600254322421,0.006860810902177036,0.018836985744113917,0.004933100916513468,0.004729009339996992,0.06231785391803533,0.005934807922451,0.00630598462009948,0.03631136452274222
10m_wind_speed_mean_t-150min,0.009232706430078907,0.005926313581214345,0.01203007682671523,0.006863958083755279,0.008561166675504751,0.019910610362072475,0.004329029889073808,0.00879108302750319,0.029429203035917454,0.006303100107329556,0.004632535847564213,0.014034941419858114,0.007773809271720893,0.0035630184050978644,0.025446458636924945
100m_wind_speed_std_t-150min,0.0034056006470864304,0.0035114323734451317,0.023699640119622927,0.0036836319869953515,0.0033582546482684847,0.04388007697770445,0.0038768318074401125,0.003939588172434014,0.03918013662812518,0.004144651152437291,0.0040015737215744595,0.01653383842675612,0.004116794434688927,0.005503163480185321,0.03160169079390471
10m_wind_speed_std_t-150min,0.0033550930985657033,0.003922893773957185,0.01176037850546436,0.004269789236344877,0.0043009937081587854,0.01268463438472463,0.00446811205848644,0.004865952405954886,0.021028532118958537,0.003616999458878581,0.010226421700179344,0.044000118392963486,0.0035921901338224417,0.005069872020769253,0.01649295784737387
ssrd_mean_j_m2_t-150min,0.0063188643171342845,0.005826009880343918,0.08256815231440123,0.00876669249971019,0.010627265110888401,0.13799872682940803,0.008269500562557368,0.010649892383044061,0.04496231239518238,0.009136658780260404,0.01077318145316167,0.02916736773472803,0.007699720449083543,0.0092864435959782,0.09848523346311412
ssrd_std_j_m2_t-150min,0.006155830512732791,0.00907791649235878,0.03843268698384054,0.012040982117490785,0.016329715101790498,0.08754528927488718,0.005956504662986845,0.005956019905617722,0.026424081483099143,0.005532080837019749,0.00630938568534566,0.02350457027588709,0.006084002580417291,0.011327607028317288,0.050831301489495676
100m_wind_speed_mean_t-135min,0.007019786263295828,0.006247031339695241,0.042281007246987426,0.007727409603604201,0.005529046390005533,0.027425699916457234,0.006213833605183026,0.0083242372454406,0.018821446722893598,0.005846004601608001,0.006193490244677378,0.016257926145092826,0.009893618320034875,0.003913132321122248,0.0627115524407709
10m_wind_speed_mean_t-135min,0.004545931581520563,0.003421662177592793,0.036361488901893606,0.003973872010167724,0.004750933792020078,0.020301800146635286,0.006594506337822878,0.0073459513429806975,0.019865466903596824,0.00803648265879292,0.007727740973321488,0.014511298452074698,0.0040290665636021,0.005980684184758502,0.01720390171049803
100m_wind_speed_std_t-135min,0.003671775744347542,0.003775294234133071,0.026240712148384773,0.005316765265475169,0.003867068475603446,0.019705026316514704,0.002670397023014857,0.007080949174784052,0.025681457550221238,0.002884385357530846,0.006002774127839075,0.018996779867266014,0.003199862907315037,0.004381129834466264,0.02418306199431663
10m_wind_speed_std_t-135min,0.008503100778845692,0.003686665100065511,0.029141161599647605,0.009159293634801544,0.003366272707958615,0.01721899123768526,0.007143600486720061,0.00442299872472131,0.020049868668465934,0.009780411060984989,0.003551901936149079,0.016555274461832595,0.011338622748138733,0.004056053827953406,0.023110445401522156
ssrd_mean_j_m2_t-135min,0.020816081058001146,0.012739777755150498,0.06108382757409708,0.020404438295343424,0.007971343521930976,0.04439989900477667,0.007662970679967202,0.010002067911767882,0.14651909383013845,0.013968610078532947,0.009229294038843363,0.03769692119001411,0.023444647764856198,0.014922413686523214,0.07295297644731182
ssrd_std_j_m2_t-135min,0.007969081269719026,0.010639788193875574,0.05386177507240791,0.008238346531390562,0.010332010432888637,0.040111339327457245,0.013170136977059883,0.010798851039338843,0.10845828975993209,0.008441829087889346,0.0073999956425031994,0.052115295627270825,0.008496639617416804,0.014085263391956687,0.07707069630374462
100m_wind_speed_mean_t-120min,0.004549626985015493,0.005312506574176951,0.02709540155545983,0.004660982685899398,0.007126912495430588,0.022316018317869748,0.0056182257300424684,0.005026095221739525,0.012533841479479634,0.004165734014547525,0.004290349205105485,0.02875548665809583,0.0043142969360064854,0.008196654421743006,0.027099963469037903
10m_wind_speed_mean_t-120min,0.010846238451151295,0.0049284488922130545,0.029429083256138255,0.00964567087452815,0.004317556699075794,0.0331019259847435,0.011832472033216619,0.006119362223274038,0.03639510152881849,0.018198160600523806,0.01044602607130946,0.026720790652441793,0.013947273815170774,0.006038010519700037,0.03320944882530239
100m_wind_speed_std_t-120min,0.0045426189623294705,0.004060479281508379,0.01695357675523701,0.005378487197518552,0.004660246449257102,0.0410375495879498,0.006030134142233692,0.005907660610471339,0.04123708539818108,0.005432723421130504,0.006282557056340806,0.04022567878938571,0.008191482220609033,0.006493686078286828,0.024608445762482008
10m_wind_speed_std_t-120min,0.0047420671569561815,0.0054772271990154876,0.014480010831650361,0.0037933832827984587,0.009553248762360455,0.015483899922414708,0.00640230352809067,0.008708517391997702,0.012852297326819098,0.004403130768951087,0.003820269113266704,0.04967026145925047,0.0047470886362364125,0.005158217060182323,0.012932341788490249
ssrd_mean_j_m2_t-120min,0.011134085664216399,0.011123625610889577,0.06831476194784045,0.006609765585955756,0.007224145447020419,0.06994760368636344,0.005744138779387868,0.021283770195357647,0.041930934411524505,0.02727793802465385,0.0481399642265751,0.2191537652667612,0.018499939261060718,0.017736527408842448,0.04409913600477739
