Feature,imbalance_prices - Long_t+15min,imbalance_prices - Short_t+15min,imbalance_prices - Long_t+30min,imbalance_prices - Short_t+30min,imbalance_prices - Long_t+45min,imbalance_prices - Short_t+45min,imbalance_prices - Long_t+60min,imbalance_prices - Short_t+60min,imbalance_prices - Long_t+75min,imbalance_prices - Short_t+75min
hour,0.011610729158099275,0.008281432153371043,0.005219749719977699,0.005798824372735907,0.007531813150373636,0.006692987878524491,0.006106089618580881,0.008474921606190037,0.007892801816579321,0.0065368473102607825
dayofweek,0.0045212178001479515,0.004035413796417288,0.0053150505229405095,0.005139286841420471,0.002360143806023416,0.0032572196249270745,0.004304489760006618,0.0033623874023114694,0.004311520137267507,0.005561981193611246
dayofweek_sin,0.002448197853012516,0.002482418408488229,0.0016421083759910146,0.002168866062608686,0.0013974984910712464,0.0015516816858487346,0.0019098498830708195,0.001722359675410189,0.0018123490917406572,0.0014959278326316507
dayofweek_cos,0.003539643293552217,0.002476905337970493,0.0027386118461308795,0.0027990296419093284,0.002265559547198791,0.0019135804869874846,0.0017496937518935737,0.0020542081349281035,0.0019980669067626877,0.0020566369215077314
day_of_year,0.0081488539756283,0.006390140993753448,0.00937837478075926,0.006549868889387653,0.006194381299592351,0.008245090952234023,0.010405323243570819,0.008723406403842091,0.007255797820760563,0.008632882042205893
is_holiday,0.0011358944266053185,0.0009207986433849556,0.0008585968450640849,0.0006931641939845576,0.0012371085001805114,0.0010918641533226036,0.0008065382349604988,0.0008342552588347872,0.0007383263268853853,0.0006989045810551033
generation - Wind Onshore - Actual Aggregated,0.0024045540458951108,0.0024673527925808117,0.0016518555848786746,0.002065992553780234,0.005409710589519818,0.002014418538380596,0.0025762828036813516,0.00331717502777974,0.0033032662009270554,0.0036073415876053333
intraday_wind_and_solar_forecast - Wind Onshore,0.004104489223904665,0.001651754322051147,0.0023361010858061492,0.004425496666306572,0.004359964932662933,0.0016108812003640196,0.002154853689902666,0.0015800048989378865,0.0017261397809224944,0.0016704503434375512
generation - Fossil Brown coal/Lignite - Actual Aggregated,0.0063093433479225495,0.01154449585841212,0.007292794505803613,0.007279336504518142,0.006418991462869599,0.007538300864218854,0.009954611244564149,0.008548627542419127,0.006125491908050207,0.007783129314426333
generation - Other renewable - Actual Aggregated,0.002784926100100165,0.0042359135936203525,0.0034357554307935063,0.0012908454689331847,0.0030305819031527788,0.0023680650645851527,0.0036019387389187615,0.0059605489496025255,0.0012331013452749175,0.0038593217876423296
generation - Solar - Actual Aggregated,0.01743266651232261,0.01704534629842965,0.014377640045015141,0.010159019415965304,0.013386373517968423,0.01166838108122488,0.010569812500441913,0.014994624075385219,0.011800584676806466,0.01347632310539484
generation - Hydro Pumped Storage - Actual Consumption,0.015306776963116135,0.015190644621354294,0.011536695677379612,0.009822251220146428,0.012025048153707758,0.012586148865724681,0.010965702044864883,0.011083515624395659,0.01095463125594688,0.010742334305279655
generation - Wind Offshore - Actual Aggregated,0.011901628129773599,0.0054054034954797315,0.007496163729396358,0.006063167837834044,0.009078252340101244,0.00605672194843828,0.007628054391767364,0.004422438688365219,0.0017629118678605664,0.006127265910210553
wind_and_solar_forecast - Solar,0.003913490678633025,0.002426165268402315,0.0017243336621650088,0.001618506795605299,0.001243242302087765,0.001366886772051089,0.0015058993904840464,0.0028212769335768826,0.0016868778665184436,0.0013409989037227205
generation - Hydro Run-of-river and poundage - Actual Aggregated,0.0018000197114276658,0.002066941164961463,0.0013530250036246799,0.0016607827443674524,0.0017591481664312595,0.0015188275165994582,0.0013947493625128117,0.0013152855365565301,0.0013177731802408062,0.0032121805362994565
generation - Geothermal - Actual Aggregated,0.003496691827742325,0.005203482258494659,0.0045282365357397795,0.0017966673884602642,0.003963056768081515,0.004189182722644091,0.004223445691401139,0.0026020103673135963,0.004680128949275968,0.006668935848949332
generation - Hydro Pumped Storage - Actual Aggregated,0.021962804876922745,0.022851115289027803,0.019279417330064462,0.017073275707482027,0.014946184642416484,0.015365485300473665,0.015674273282231296,0.009863339882867877,0.008820913269177253,0.01238976444723812
generation - Fossil Gas - Actual Aggregated,0.00509471687531186,0.0028821609536880716,0.005585878811858493,0.0028945462895935636,0.0023544168784103477,0.0024732919330108416,0.0051312837087825755,0.0030965783944104713,0.0034587541579330717,0.0025733714516172766
generation - Fossil Coal-derived gas - Actual Aggregated,0.0060189112472216946,0.004300502582336776,0.003794247410620301,0.004694402331215315,0.004319845119175625,0.005430898999347847,0.0029926175987911845,0.0033592144608419403,0.004882335533286096,0.004201905592424737
generation - Waste - Actual Aggregated,0.00649246569647903,0.0032717365262069508,0.0035060725954317606,0.005290533093030717,0.004433108912003576,0.0026258293299488288,0.0028288409676661104,0.0023417570243686897,0.0018837765839102758,0.005405922937976811
