Feature,imbalance_prices - Long_t+15min,imbalance_prices - Short_t+15min,imbalance_volumes - value_t+15min,imbalance_prices - Long_t+30min,imbalance_prices - Short_t+30min,imbalance_volumes - value_t+30min,imbalance_prices - Long_t+45min,imbalance_prices - Short_t+45min,imbalance_volumes - value_t+45min,imbalance_prices - Long_t+60min,imbalance_prices - Short_t+60min,imbalance_volumes - value_t+60min,imbalance_prices - Long_t+75min,imbalance_prices - Short_t+75min,imbalance_volumes - value_t+75min
hour,0.002533832355615232,0.009768519362363804,0.002463896873719932,0.0031214980446329717,0.009265675548638682,0.0023861318983608728,0.002873171247611026,0.009500313032578561,0.0020842016477590733,0.0024211299133758074,0.009310584418424696,0.0029981595170506807,0.0026421432522110992,0.0058804789215992056,0.0028208723596817435
dayofweek,0.00564507121791894,0.006972569408560957,0.006435540688980837,0.00636465657644203,0.008294714621243657,0.003816432497401365,0.00527190350228193,0.007848083911470894,0.005586813629197423,0.004549078175897193,0.007146321394796359,0.0018231717555718206,0.005500377311171633,0.008601216122006008,0.00202922135519475
dayofweek_sin,0.005041198911545507,0.006200706608691689,0.00298024384655173,0.004920514020479459,0.009082894574039529,0.0027838267605002328,0.0050233629929007295,0.0059061368896236675,0.0022547959220155464,0.003631950138195407,0.006958186256263616,0.001896788483455566,0.0049052594582803975,0.004338237661573658,0.0019856078663688095
dayofweek_cos,0.005599088616246718,0.0029341841076438867,0.0019217198735168495,0.004699345551278384,0.003900271573169448,0.0015287632789568305,0.004853178783780095,0.004438452565984335,0.0018367084570554654,0.004679956389378276,0.004653318583339569,0.0017232252131389031,0.005630553523442359,0.006619154062733287,0.0015230883030785663
day_of_year,0.004852723580985184,0.007443544171179383,0.0025941513473544545,0.005865493846031313,0.0072865949108454516,0.003121623549324795,0.005907992776662468,0.006809349004355681,0.0023101661217187937,0.006451026699905924,0.006491606988181957,0.0029947174955207174,0.005586000424696067,0.00823080735698386,0.004163946553802362
is_holiday,0.0008040524846768449,0.0012468548075795524,0.0006635000107953317,0.0007118518743686231,0.0011252064954253456,0.0007559392829234639,0.0008463497449129136,0.0012006511602139654,0.0009248644442795921,0.0007681025466377776,0.0010367043453270526,0.0012654970844705531,0.0006931224153655649,0.001243385552401378,0.0010638514812510494
generation_import - Generation - Hydro Water Reservoir,0.01798893636034336,0.01903539104454103,0.039368546300589516,0.013064884728702054,0.014986790532995656,0.03166115944119519,0.010898001766796369,0.013903266855915718,0.030270293508692703,0.006649570555819082,0.008799324135565258,0.030242100534622295,0.004912812019385456,0.009535403363015121,0.025005073522130262
intraday_wind_and_solar_forecast - Wind Onshore,0.003213342344666671,0.003957070250035031,0.001766333966057573,0.005018693235952923,0.0025573868259580195,0.002760472923770067,0.001778624896215206,0.004036268052288506,0.002511775393015796,0.0022807519030483545,0.002928813403648746,0.0015908760791726309,0.0039611929057819,0.0017483622842106286,0.0010079231457775677
generation - Other renewable - Actual Aggregated,0.005807534402941201,0.014325073139476445,0.009409986986225704,0.004327106098669901,0.008060868035545354,0.0043389261269285275,0.006331820754195178,0.009728389119736676,0.004614546106745365,0.008365869331682915,0.007235034205443298,0.0019927082274371058,0.00851990382236545,0.006404507078517781,0.004901269123283782
activated_balancing_energy_prices - Price,0.06409347950294614,0.0524891717037026,0.013041685635345857,0.05708095973712625,0.04936752346794674,0.009124870660518354,0.05228915394039359,0.04301311275015178,0.008185742789866708,0.0479236872087422,0.04037100650411958,0.0027343754815328794,0.04595961959837223,0.0384126377444918,0.005001757984475262
generation - Hydro Pumped Storage - Actual Consumption,0.03523926966416184,0.01248479323072388,0.00813078774837777,0.034559667248802724,0.012611555970022892,0.002830657039432026,0.027033472408133093,0.010371359613043751,0.005278946329508471,0.025727217259191092,0.006138787655410851,0.0071047653391578935,0.01979342846169311,0.004295844106047298,0.002407103946317875
wind_and_solar_forecast - Solar,0.006445111775845646,0.002474493506666107,0.0052010934976133285,0.005670730507743429,0.0020804999530992063,0.001723142718519739,0.004240312117927715,0.0036132231542505906,0.0021977727093653813,0.003000862477142164,0.0033454997451153757,0.005914627515994653,0.00405020899252213,0.005472519696453674,0.0017651380323207206
generation - Hydro Run-of-river and poundage - Actual Aggregated,0.003387925086510222,0.010985198557031254,0.002354086656767777,0.0032583431633679536,0.008209234817040851,0.0023867345422413566,0.0015928148881573633,0.006470524834157914,0.005592191161355004,0.0017161143218654615,0.005559474287348337,0.0037697503703693655,0.0023082641666678683,0.005328594691189778,0.002172039134401075
generation_import - Generation - Hydro Run-of-river and poundage,0.0049126968145283174,0.009176760797354291,0.003958068180046212,0.00650674077624626,0.00962870401670807,0.005920746692971079,0.0034229296283297115,0.009750142533739563,0.0033996348965702056,0.006046673060947796,0.009164872913534055,0.0016863757540268125,0.009067875556218496,0.006545269071299117,0.003628855555718928
generation_import - Generation - Solar,0.024530495448270812,0.03496983411817928,0.007323085701724267,0.021505880612530746,0.02959427240763762,0.0024357318575928275,0.01856846556215896,0.02903647806982917,0.002742472577917397,0.013483764098884422,0.022201498682174133,0.002124172566270772,0.01349569086061092,0.022380012915178667,0.0028214327920995856
100m_wind_speed_mean,0.002885147020364002,0.0015928677379802138,0.005969892749752035,0.002648906395380436,0.0030965218439814634,0.003056302989123651,0.001366614844873766,0.0014216298576284316,0.002876995150888433,0.0019338116647368224,0.0013890331091063785,0.0034253660449103337,0.002263588460714118,0.0030900385832492248,0.004185545912811904
generation - Fossil Gas - Actual Aggregated,0.02421879454451846,0.008741836251385393,0.018241296800482816,0.02362436600836736,0.009344901958878837,0.015304330332251993,0.018783547545230247,0.007921194096172257,0.013939668168489789,0.017242761905596125,0.00739393994101556,0.011846325825928943,0.014703558551656897,0.005634027499183503,0.011699588398427295
generation - Waste - Actual Aggregated,0.011530565190227207,0.009558376469140057,0.009195462893811054,0.00837250799011963,0.013999873883449254,0.002725326699510788,0.009890344570936576,0.011972134438707144,0.002429926007228204,0.007947936304204631,0.012846907955725328,0.004736101709728245,0.0030090053948351853,0.013378480156898149,0.0036945763110516052
generation - Nuclear - Actual Aggregated,0.002932169409488779,0.008820305940607795,0.012658493717062812,0.004821194278376424,0.00886952310038032,0.0051785734722054715,0.004048259459596011,0.005742781209752365,0.011471198957073284,0.007771507424404262,0.00704992055031471,0.011060767503688111,0.004938105304727287,0.009887910126752103,0.007145351436287456
generation_import - Import - sum,0.008339770063037577,0.004709746106824241,0.0020971271445744152,0.007398671184766499,0.002893800950363129,0.004579991691842224,0.0027569445003609873,0.00182856770594708,0.00433591428463933,0.004983814503015424,0.002432880315782313,0.0018997145198954967,0.007954654575180029,0.002352615218474739,0.0021132757978316475
10m_wind_speed_mean,0.004719739780623854,0.003329750711094675,0.0031040131887020836,0.005182538277493222,0.005598294229119347,0.0013310266115313424,0.003332452299554916,0.00665420076456212,0.000976336089756682,0.0022507524892418475,0.0043768653865226955,0.0027748673831792985,0.0027056093485807653,0.006642741251471307,0.0009735023592700145
generation_import - Generation - Fossil Hard coal,0.002466354974077149,0.010945536916842684,0.00394694497290402,0.0029404926608003735,0.008637416632453095,0.0017513215542458056,0.004596032076491611,0.009284891371615232,0.0021000912388399228,0.004406485561503359,0.006819430472547538,0.001860841375914333,0.0026619612906079054,0.005484672556580335,0.002373749764275999
generation_import - Generation - Fossil Gas,0.023902600061584962,0.012911973317775846,0.016329591374829762,0.02121628727938514,0.011990825149056037,0.01396590155633072,0.020826554700775886,0.00947532674590184,0.012826037501949031,0.01893921664007212,0.009243901143952826,0.010992944982106564,0.01718317148202914,0.007836331077333399,0.007794411430651962
