Feature,imbalance_prices - Long_t+15min,imbalance_prices - Short_t+15min,imbalance_volumes - value_t+15min,imbalance_prices - Long_t+30min,imbalance_prices - Short_t+30min,imbalance_volumes - value_t+30min,imbalance_prices - Long_t+45min,imbalance_prices - Short_t+45min,imbalance_volumes - value_t+45min,imbalance_prices - Long_t+60min,imbalance_prices - Short_t+60min,imbalance_volumes - value_t+60min,imbalance_prices - Long_t+75min,imbalance_prices - Short_t+75min,imbalance_volumes - value_t+75min
hour,0.003881994351240792,0.0041462791281487625,0.015429209386613366,0.0021071868756762343,0.0021552394529271626,0.02026758613523998,0.0026154291805141837,0.0025797910952187523,0.021372333509309102,0.003382277165816049,0.002081179128566873,0.025396348450361074,0.004354793217483347,0.003922978488706576,0.025455291268829797
dayofweek,0.007086332707167457,0.005203760706790945,0.004063912018144038,0.007079754220119192,0.008474403053659443,0.004870388722416465,0.0065767843360863484,0.005157629416280599,0.004887367603048915,0.007310191237730578,0.004767147470454802,0.0088872351693135,0.009347285159630701,0.007152147115004482,0.006059127485426871
dayofweek_sin,0.004862571779543941,0.0029771507500699953,0.006103162900701136,0.002996233681641115,0.003926627052813274,0.004524471192948113,0.0019400413728917557,0.002122916649061608,0.00542137473312232,0.0014673569376677732,0.0017182574331714021,0.00674259310261732,0.0022044292568630225,0.002087591499396012,0.004978505534223587
dayofweek_cos,0.006555058634552552,0.004441531948759803,0.005974873804487288,0.003432740613552596,0.004762769504892276,0.005467956436674285,0.004166337804672366,0.0033711071263514895,0.006442832043740054,0.005182022326247534,0.002657593259395071,0.0073791329239466,0.003465748212092876,0.0033418771978504084,0.005823655725918798
day_of_year,0.009141200790199946,0.00948649007646236,0.009227164650104897,0.006785052904394433,0.009669799793064158,0.009533002558272528,0.008456952032945537,0.009774517280227882,0.009112423937374842,0.010326324874808052,0.008998180195841997,0.01277859814484782,0.00843998034181095,0.014528611518398975,0.013263920278302976
is_holiday,0.0009811604121213121,0.0006523125991318466,0.002088919519804449,0.0005831414493504781,0.0009506304795631877,0.002092076056602309,0.000930089414713052,0.00075046886199857,0.0019448144445732396,0.0008639721266890774,0.000899152455795047,0.0018190220458805014,0.0015229870338444016,0.0008396083547967237,0.001795545606093583
intraday_wind_and_solar_forecast - Wind Onshore,0.006067399449353615,0.008230668834901735,0.034079429192628595,0.009155553213800885,0.00411542772546818,0.031097921417996985,0.0034974005218600724,0.0066781092057699425,0.031153509127801952,0.003521859917222173,0.0027576807603493306,0.03328134402706928,0.004352952211170077,0.005368815694258956,0.030534687797771767
generation - Fossil Hard coal,0.004839354541851208,0.002786076321086057,0.011446382381371223,0.005210363149730256,0.005429549374966882,0.012963907557772473,0.003316629390883918,0.00929692377851461,0.00947025262506213,0.00598478522321966,0.004650161912257317,0.0113676187468227,0.0050059277707478035,0.004051035944750765,0.005824781353680009
wind_and_solar_forecast - Solar,0.0016064820175106433,0.0027205229442943163,0.006152306632137879,0.0030231953107340815,0.003778051267456732,0.003894463207836907,0.00313542685797438,0.0012595204176340075,0.009090740823405212,0.0017672591989230568,0.0019236199404967919,0.004238731101864687,0.002910921534622503,0.0014622847089131028,0.0031487567181231954
generation - Other,0.0026125895085278897,0.00416097653824545,0.00766814131052638,0.0014813557866341397,0.0020254282132009392,0.009798406523477752,0.0008910939137626883,0.0008308835903441718,0.006867545025677828,0.0007049461776823591,0.0012569593691002866,0.01013149754395272,0.0024619296211822075,0.0022044380040279065,0.0101911868815223
