Feature,imbalance_prices - Long_t+15min,imbalance_prices - Short_t+15min,imbalance_volumes - value_t+15min,imbalance_prices - Long_t+30min,imbalance_prices - Short_t+30min,imbalance_volumes - value_t+30min,imbalance_prices - Long_t+45min,imbalance_prices - Short_t+45min,imbalance_volumes - value_t+45min,imbalance_prices - Long_t+60min,imbalance_prices - Short_t+60min,imbalance_volumes - value_t+60min,imbalance_prices - Long_t+75min,imbalance_prices - Short_t+75min,imbalance_volumes - value_t+75min
hour,0.029545699830028752,0.03092245417481172,0.02343813437008066,0.03768374592829059,0.03865373302935041,0.040469788518967105,0.042943245568218116,0.04221805109022535,0.02899300261250579,0.04093351050163619,0.04373798573494423,0.031042774814675794,0.04815414189529838,0.048086639563087376,0.0288744328791654
dayofweek,0.010813678697611977,0.01201262354497885,0.008833922485442599,0.01392194124201285,0.013632072960594087,0.0076246085967213734,0.015002357897697948,0.013058621640553611,0.01046503808349371,0.015230527530467953,0.015486539603864003,0.010996877027850132,0.016566917216687217,0.01604960498714263,0.010346611700333824
dayofweek_sin,0.00684043189942895,0.006184940330851532,0.00824626772193733,0.006424967004852078,0.005512375219987007,0.00970754881781204,0.007226758969627326,0.006519307506763653,0.008572762529186094,0.007112277742336118,0.006741423760022371,0.010836333226970056,0.00665459754460403,0.007815476410971314,0.00791460083873244
dayofweek_cos,0.006739135785199778,0.0068570024167493105,0.010562910513504904,0.007854835205318522,0.00643995782941056,0.015309726911062171,0.009170265328284586,0.008397935537455851,0.011606214925559471,0.008067891179132857,0.0071229311726583545,0.012181543708589744,0.009350621210309327,0.008771991904912284,0.014444822424058658
day_of_year,0.005816481334339187,0.005599806814918338,0.009041046289953556,0.00753611548810909,0.0067508431738460785,0.01058776636894163,0.006896869007501664,0.007258811421583232,0.0121876148474621,0.0077006537059714905,0.0072783346969563355,0.007436686074512181,0.006937116262375639,0.007596559216704918,0.012630281637488224
is_holiday,0.0011079360688421502,0.0010876117350395874,0.002084371770607419,0.0011200155109809201,0.0011269801486081406,0.00456764252725543,0.001265015639324247,0.0012530277021755864,0.003351155299720631,0.0012020310558445999,0.0015803180446146143,0.004108377756729169,0.0012061119789336771,0.00171434799235206,0.004326632917151713
activated_balancing_energy_prices - Price,0.044135783800898935,0.04427870199404424,0.01490820232159831,0.04385174012713833,0.0465108004945796,0.012051086005667457,0.04482509099919116,0.044402729873458155,0.007766942153961281,0.04473308589856606,0.043141395818413,0.0076342965936346445,0.03746176129794913,0.03841863366792677,0.004130410856305389
activated_balancing_energy_prices - Price_t-150min,0.0032995667429304375,0.004130997117659717,0.006375630173553873,0.0023617379637034903,0.002794124328901489,0.004382069716833939,0.003092257074698864,0.002795163627581587,0.008216725978255453,0.002448279164838368,0.0026686947941207107,0.00328318738214125,0.003424033229235647,0.0024345893627987607,0.004866050383424863
activated_balancing_energy_prices - Price_t-135min,0.0023348504513260194,0.0019145835800486565,0.0036223883409020347,0.0018824311881841709,0.0021031696400896182,0.005018021437803327,0.0016013888021250296,0.002140805529006684,0.003171874633732614,0.0017910584849590806,0.002250860968860252,0.004741183943966462,0.0020885349289146687,0.00231704869097166,0.0027888752769749774
activated_balancing_energy_prices - Price_t-120min,0.004832222949519746,0.004672888912311464,0.005185024480182392,0.004910124110791002,0.004062547202114729,0.005673919084980298,0.0036170295595829884,0.0038699790782011404,0.006634890109820844,0.003801878701040664,0.004949621037289034,0.004865720077429842,0.0029904743858345456,0.0024894381040262486,0.005884264328502468
activated_balancing_energy_prices - Price_t-105min,0.0031987954955770876,0.0028433872173541206,0.003801897587987696,0.00377721241076506,0.0034125410245360397,0.003242343894106398,0.0027755404911404187,0.0033513586968329035,0.003949778824277018,0.0026503112355039777,0.0030649769960618867,0.004127082113917822,0.0034918976334720356,0.003330394220012295,0.0044181972930091434
activated_balancing_energy_prices - Price_t-90min,0.003504484971919794,0.003050074812439561,0.005094925590186904,0.0037810582859729037,0.004792756230794283,0.005561183756261016,0.004660375666995606,0.004066811407687055,0.0038674137567995784,0.003673173015355587,0.003926592187604456,0.0024277620357333945,0.0029199073574009164,0.003261469138624307,0.00466677390919358
activated_balancing_energy_prices - Price_t-75min,0.003766200632559048,0.00397484803563384,0.0030511842518171762,0.0020252570235938946,0.0023782528271658523,0.004925162209809059,0.0028167444700666236,0.003493148961768384,0.0021984170456398715,0.0031705357310838735,0.0029088042793528075,0.004643648852485058,0.003982836276933085,0.003102840124054637,0.002619739377706168
activated_balancing_energy_prices - Price_t-60min,0.007983683179588297,0.007609626357052548,0.0038350033713086306,0.007330262569788829,0.007556959794641443,0.0030602869822409957,0.007621067767191562,0.00743992923622136,0.003224393764483466,0.008782850257775863,0.007993142257338149,0.0032666482215463473,0.008527545294329685,0.008338314933329457,0.0030970139245382598
activated_balancing_energy_prices - Price_t-45min,0.011110316588077694,0.010280213101490517,0.004738534913108197,0.009814286257365893,0.00915301281149732,0.002981982230686299,0.009533317003932097,0.009448630394530482,0.0036634722226431223,0.009410645928466693,0.008066451602255257,0.0022322433320277925,0.008690039455192164,0.007873549692812959,0.0028862707034386405
activated_balancing_energy_prices - Price_t-30min,0.01436102444131393,0.014775900197360898,0.005729524038262753,0.015022468090795884,0.015123660344848758,0.002867741956100275,0.015382604377751704,0.01566128478794417,0.005167213648906909,0.014454763788540732,0.012292660202867409,0.002532037736446,0.010915015154067077,0.013286642166749517,0.004640738105710625
activated_balancing_energy_prices - Price_t-15min,0.01618947553349426,0.01677608811171376,0.005863655131517589,0.020318222977162806,0.020700904854558756,0.007022919915878447,0.020898031351040118,0.02020626642848947,0.0048033340226611475,0.02040959470386588,0.01965344027965307,0.002849665448820815,0.018652098503662274,0.018123314926109742,0.003284991862606148
imbalance_prices - Long_t-300min,0.020331091344065497,0.020249333839223255,0.013240652555774432,0.03247858641401399,0.02255432652114541,0.007848080097381171,0.029138815353799145,0.028104642064692598,0.016257429418328685,0.03996487312170211,0.035928789777297424,0.014754569268266095,0.031911520738096444,0.028567234406073113,0.013836533085384873
imbalance_prices - Short_t-300min,0.009016729251139622,0.011566602939608856,0.007744163958474019,0.008816967372944419,0.014295450063333192,0.008034983949850357,0.012963770945803844,0.018562678661390237,0.008663611148936979,0.01074259220971726,0.013331941592521617,0.005720267245135801,0.016519715354716028,0.014158619088251726,0.0053429414670172265
imbalance_volumes - value_t-300min,0.0033968564832985064,0.0037083626104904397,0.009674250511585342,0.0040124069552121,0.0032817555779174655,0.021015499054621613,0.004917724627313874,0.004655565464632673,0.006520307193556619,0.004811489464053011,0.004408086703933805,0.014493494866601054,0.0040651754606265056,0.0031414362925797834,0.006778166933922534
imbalance_prices - Long_t-285min,0.005492715462423803,0.006760540580410577,0.02795588190021226,0.005101844563766463,0.005321529024084157,0.00575083654311311,0.00581969464474605,0.006260592180614821,0.00624323457164428,0.006013979581119201,0.005665327125959266,0.008538970689478446,0.00597048638238266,0.007174683085533616,0.015649347767084692
imbalance_prices - Short_t-285min,0.022411599851409846,0.024756753436202417,0.023509019984194312,0.025711838630770218,0.02820679660335736,0.010065309233687003,0.028808082234872925,0.030100894911462093,0.008415478320485363,0.028863996983738618,0.03284066025831271,0.0065440834338169225,0.03666332858536452,0.03862279053137172,0.020571455931276433
imbalance_volumes - value_t-285min,0.0030406839983606916,0.003109159138580253,0.027475921059507528,0.005249111315049958,0.0057556781663925,0.024349480213473725,0.0039751152216322225,0.005029964162002216,0.025596545128353684,0.005080308376890116,0.005841423593219588,0.018353562706281083,0.005391283463468454,0.005921371842283406,0.015051465763577652
imbalance_prices - Long_t-270min,0.00671081354825651,0.011729820313918936,0.006494178589280636,0.005251073617737348,0.00761677407354,0.010515365153070888,0.004615569422559929,0.013898982036596863,0.010542382396522044,0.005749639268196915,0.006761221147782407,0.0102212189083657,0.00881380405867094,0.00609372297957907,0.008780874807733199
imbalance_prices - Short_t-270min,0.01968789021325938,0.02171763643866143,0.006458770602523146,0.019943356407806277,0.02545747018806287,0.015375923143568797,0.022267635868498472,0.031434578479136686,0.0075498175526154225,0.0231952353251545,0.023337144816588988,0.015712556331913218,0.02579429353575688,0.024809994409573845,0.007195104905382323
imbalance_volumes - value_t-270min,0.0035243501081176874,0.0029676191081757677,0.014107677696476457,0.0026925866766296168,0.002470348085313162,0.021363899896896327,0.0048869883143343035,0.003717660999553118,0.019560112571587525,0.0030086785084113216,0.0025759503081835646,0.02419261942893718,0.0038142578979986864,0.004139126606001809,0.01577870813800473
imbalance_prices - Long_t-255min,0.011329086056030065,0.008941273966957852,0.008284584870405525,0.008351111487929302,0.009893066071599605,0.014769638013312943,0.015320097188960062,0.015182851211793604,0.006059954892677979,0.01448324793480424,0.016634178632550175,0.009076351080526365,0.019736874089325285,0.01880940036370248,0.008100367954694775
imbalance_prices - Short_t-255min,0.007664985921725019,0.00753861928378501,0.009415355543234909,0.007753028213468497,0.010540560189884219,0.014433106593729463,0.007246824923473014,0.006306345750977925,0.005889475778666565,0.006098939473304199,0.005131319418433122,0.006087767068343965,0.006144166435602528,0.0042115600371053,0.0070194935828913
imbalance_volumes - value_t-255min,0.00329938309496174,0.0023830185852057183,0.006562860350466508,0.002076766222653532,0.001987538914808283,0.010157166266846616,0.0030499506529758948,0.003023405306148561,0.02655867885709449,0.004341340505212429,0.004401550498761935,0.014622148348324118,0.0035533375865779817,0.003188918753396138,0.027447437058937794
imbalance_prices - Long_t-240min,0.006944596071327396,0.005377010158794292,0.006407752925149907,0.007292472689801798,0.007000238882397753,0.006959804384155177,0.010583548971462733,0.007072687147294345,0.009390962430486979,0.011318259280917118,0.014182166743888957,0.010979500573866971,0.014729079994933272,0.015966097247270227,0.014624682374924305
imbalance_prices - Short_t-240min,0.00904922261088359,0.012153419912407117,0.01090181167841365,0.007734100434856373,0.008666986240925326,0.010845406832573644,0.008838648244956858,0.01316089258226566,0.00807607391244528,0.00985085788842116,0.011868744771095407,0.014869466603471665,0.009456027313906816,0.007983850185694792,0.014836272903849021
