Feature,imbalance_prices - Long_t+15min,imbalance_prices - Short_t+15min,imbalance_volumes - value_t+15min,imbalance_prices - Long_t+30min,imbalance_prices - Short_t+30min,imbalance_volumes - value_t+30min,imbalance_prices - Long_t+45min,imbalance_prices - Short_t+45min,imbalance_volumes - value_t+45min,imbalance_prices - Long_t+60min,imbalance_prices - Short_t+60min,imbalance_volumes - value_t+60min,imbalance_prices - Long_t+75min,imbalance_prices - Short_t+75min,imbalance_volumes - value_t+75min
hour,0.009980642072419868,0.00971040339801857,0.012922292876297434,0.009028535716432088,0.01102483271714118,0.013565512061133631,0.008693216363569945,0.008994614693380299,0.011920502138371376,0.008457387455680873,0.008547197449079249,0.011965515650870657,0.008190823317945614,0.008665844360861229,0.011568237861138187
dayofweek,0.029603657071528403,0.03138904597538931,0.013995007952217748,0.02739057832965045,0.026770075204417935,0.011131477345854363,0.021713130622512837,0.0253111420037676,0.010707969308039538,0.02430216266668867,0.0243770112732891,0.010404619067290923,0.03288168786851747,0.03195468813771003,0.0130070093587492
dayofweek_sin,0.00859945296915953,0.009869566048273555,0.006193765581203479,0.0058571325242523925,0.006236745556988353,0.007166886099948897,0.006615308479865235,0.006162264230122673,0.006273021421512567,0.006882986425306171,0.006779919124218395,0.0050976858012254525,0.007898355818658274,0.008641283887691316,0.00641671243050223
dayofweek_cos,0.008578121680096501,0.010190366629656637,0.009261329215769365,0.011337231226021685,0.009959959938743851,0.008390997989034076,0.013729484877520008,0.013094003224396147,0.007983753765125584,0.017079311422188766,0.019135918071493507,0.009191037264536135,0.014577325513819232,0.016859411102195736,0.009946629964332715
day_of_year,0.024635388451075414,0.02596424631336413,0.0495627489137114,0.022704617518001215,0.02343490781959554,0.06490082890260965,0.024317657194216736,0.025052104339019023,0.075979838416446,0.020984985985662206,0.023711243503908918,0.07538871894218027,0.018942821044649463,0.022602949960375554,0.06017832477437332
is_holiday,0.0036956299669000147,0.002917546520693577,0.00541389589093842,0.0033071216262087547,0.0029768239209757327,0.004310741216433144,0.0028801217543386885,0.0037585429255167922,0.004114711265030564,0.0019671024769043017,0.0026997179976997357,0.0037145072474521045,0.003363818666842235,0.002894685919443873,0.003521001707507821
ssrd_std_j_m2,0.0170921299673646,0.013753481530438877,0.00718465811227361,0.014012342442532827,0.013502703626319999,0.007319850985420998,0.01053894139946533,0.003632918542994048,0.04126216818462126,0.012634160193402976,0.006159655663946068,0.03589049602427986,0.0046181889179051725,0.0036567530330867157,0.017878716520921444
10m_wind_speed_std,0.00611931413894672,0.006029941193104605,0.024274249656118626,0.008455668686256104,0.005205851894568695,0.03025992898942786,0.00930369373283611,0.010707638466730713,0.030277206263825063,0.006777446611726191,0.007054306442259985,0.018028753051657985,0.005915167834618842,0.010580927068536767,0.020362050600226212
10m_wind_speed_mean,0.015975676544883754,0.011946456961028161,0.029118977785521565,0.008854891930968733,0.007074630017483287,0.013825532473445491,0.00350263595767683,0.005766701077956895,0.0069840997032360975,0.012759234180208296,0.01188440036161046,0.02001647971336206,0.015021198516726144,0.014412785968826029,0.024265229698345138
ssrd_mean_j_m2,0.005068743085424103,0.00535019106578693,0.021543645132594973,0.004400559513429471,0.0035721570693172,0.006954803428077866,0.006643659157030924,0.0033225649929227077,0.015542793966337967,0.015711969563912135,0.014669687567078654,0.041570926122105445,0.01261013135223766,0.009143666513940843,0.029809586411472994
temperature_mean_celsius,0.0034746794973984836,0.003269866478026415,0.013038019535959393,0.007001050518875218,0.0057618253235559675,0.009594174515895816,0.011100420627721179,0.012948223536851515,0.01808350810589036,0.008987199586892529,0.013186242103518453,0.019534745820914395,0.009193262829709965,0.010705092434199742,0.011958886696986155
activated_balancing_energy_prices - Price,0.005630544971791096,0.004860627012210898,0.004632253800431499,0.002345540134832845,0.001984560486843748,0.002572840186211579,0.001819656898894891,0.002108497003213415,0.0027278281736380448,0.0029485184962309177,0.0033840905241668225,0.002882926419960313,0.002938645761989392,0.0027608554372727666,0.002752531661907142
