Feature,imbalance_prices - Long_t+15min,imbalance_prices - Short_t+15min,imbalance_volumes - value_t+15min,imbalance_prices - Long_t+30min,imbalance_prices - Short_t+30min,imbalance_volumes - value_t+30min,imbalance_prices - Long_t+45min,imbalance_prices - Short_t+45min,imbalance_volumes - value_t+45min,imbalance_prices - Long_t+60min,imbalance_prices - Short_t+60min,imbalance_volumes - value_t+60min,imbalance_prices - Long_t+75min,imbalance_prices - Short_t+75min,imbalance_volumes - value_t+75min
hour,0.002069237307921867,0.002176389292071235,0.004628168451174133,0.0012503224861029594,0.0011013676100287738,0.006734547369388679,0.001321483394724055,0.00221134877083216,0.0032365186845563585,0.004375913683216822,0.003135739587328317,0.002321426225423238,0.0049278024976861165,0.000912497231419593,0.004562002831484278
dayofweek,0.005633277965108391,0.009984155631391331,0.0048468884422018165,0.009709456573240459,0.0075673995115794245,0.0037481073195406223,0.01016013269382529,0.007906938685162459,0.005041855939474772,0.009836560456780717,0.010435933035740164,0.005163806257024589,0.010960754134343005,0.008942292871302925,0.0073934948329551844
dayofweek_sin,0.0024789065691029465,0.002403127990156918,0.010098346779898747,0.0024392423817198505,0.002690983982027319,0.0038349308946271777,0.0026951554152272765,0.0023243196852810685,0.003077345694204837,0.005868044703882106,0.0029040539202179615,0.002929741327571719,0.0033550876781864645,0.006356960246824201,0.00674664163191909
dayofweek_cos,0.0054494633242720735,0.004679644307601848,0.007983538790038438,0.00502326304766757,0.006810417380870603,0.006420841881236193,0.007307517217064742,0.005556840711455152,0.005048545588910202,0.007336699892999604,0.005585231110686436,0.004691399074593392,0.004352742322298582,0.008031920169247314,0.004941009446050316
day_of_year,0.006279421418681522,0.006618246632069258,0.01442829896985495,0.007020109821288315,0.003964559925845606,0.009507854913928896,0.005316740431988365,0.003524012464226871,0.008724164560051578,0.0007302461742163757,0.004893433828226989,0.00954678900395811,0.0013056499865022034,0.004297242944251593,0.009282059033069799
is_holiday,0.0012145465634075662,0.00038843979795342423,0.0014560381841338312,0.0005319364981478998,0.0002982418815101937,0.0012471814595842261,0.0005500564933138889,0.0005653674469873522,0.0010737246978387701,0.001057716707752661,0.0008606281612643442,0.0011736413368482771,0.0008443298242478363,0.0007946870957771352,0.0015388897936900322
generation_import - Generation - Hydro Water Reservoir,0.0018666578543046627,0.0029874808686799954,0.04490644110040739,0.0031902988868405375,0.0010624901942308043,0.03765378608228639,0.002514374220377249,0.002241769829015084,0.0311189956410235,0.001424159114568056,0.0036730348682008297,0.027076830483512823,0.004852756225322424,0.003950626556426187,0.02956821229017805
generation_import - Import - SI,0.003932429973094258,0.005266390953955124,0.013101735539996297,0.00220006716565058,0.003936979373161193,0.007079442858746916,0.002822821578825824,0.0011576676567055983,0.007868156697019003,0.003536982161414926,0.004173079063628393,0.010639041250746231,0.002175706283393083,0.00183302394850989,0.006628077126083554
import - HU,0.006135038356933365,0.0026357417766466823,0.014199049175580512,0.0010742702017677744,0.004795550433318568,0.00862844051637512,0.0045409819886335755,0.003999735642231826,0.011329506771624438,0.007431693685750361,0.0038795093992532656,0.007171344268790562,0.005145906518648189,0.0032310418135948565,0.006365027147090587
intraday_wind_and_solar_forecast - Wind Onshore,0.013772046236103052,0.00957139837280556,0.03660286899306811,0.00915855981923869,0.0075204176439674485,0.03357537210881128,0.004221261279498322,0.008470530054278242,0.02962081404039054,0.010654030874287856,0.00513417182797275,0.0286218021690147,0.00356692100469445,0.005478774568138306,0.020807864651753334
generation_import - Import - HU,0.0015830937033147166,0.0015378566725200926,0.01349755759575055,0.00449056165136335,0.0012752341345476453,0.008571403177004867,0.0011549303280917228,0.0018915567819667559,0.007776661410811357,0.0016565412260663949,0.004551721408992307,0.012091440076361324,0.0037578586910540254,0.001144741525691643,0.012435283836937743
generation - Other renewable - Actual Aggregated,0.000672829362898483,0.0007314106586118214,0.0018426201724332713,0.0003222794723815241,0.0004935949570747198,0.0018880309348396622,0.0004862624535917348,0.00031332294056437605,0.0012278917918824846,0.0005185619415042311,0.0011934769156287076,0.001141639673303871,0.0007582572737675264,0.0009096012953433502,0.0012118248384522304
activated_balancing_energy_prices - Price,0.013139988967603131,0.011956805964233354,0.008079787386865064,0.010367744268791284,0.011625516767482623,0.007213276503820453,0.009678965313032677,0.009785122720175423,0.004357361112357467,0.006804956539446721,0.007530042333230739,0.006730593764150399,0.005935670271734125,0.006428320180337323,0.004682675074005601
generation - Hydro Pumped Storage - Actual Consumption,0.0007723021073746282,0.001020871169442046,0.005695444876560941,0.0005279191064920496,0.0010579354259231196,0.0020690304483596263,0.0014128065214026719,0.0035505721527151765,0.0029532455396838486,0.0006257503334984449,0.001153434238686714,0.004633347878465429,0.0007391929117359268,0.0017321586759944693,0.0014621273007542185
generation - Hydro Run-of-river and poundage - Actual Aggregated,0.0018526094974645275,0.0024259296817235737,0.017827064528770278,0.002692154057063817,0.0019344858769891288,0.015395668367087638,0.002071380902661531,0.003735205565837532,0.009409934547104058,0.0051149287588222025,0.002534067943070113,0.012489072130811109,0.003895209533596926,0.0018350999175517017,0.014901464919617866
wind_and_solar_forecast - Solar,0.006780240971886087,0.008896993416924943,0.02248805348010501,0.009571535878334543,0.009634505703077594,0.018988192415641605,0.0033247349248708815,0.004906082914581475,0.017945440756506288,0.004688835834765996,0.0029605735376935626,0.025620451479931944,0.003966932392253511,0.0024547995894954513,0.012729150370574644
generation_import - Generation - Hydro Run-of-river and poundage,0.004308556573781516,0.003098483580241009,0.006457141557577415,0.002651520035363319,0.0016946597011352651,0.0052443416348905885,0.0016573384410712606,0.0016408162468560476,0.007085452981933486,0.0020413384579687772,0.003142905087349391,0.0034768785815940647,0.002612148604601316,0.0015287543487393122,0.0042406704265764575
generation_import - Generation - Solar,0.018916460175554674,0.01926027024288487,0.03847268742322922,0.016705189107036857,0.014239223252290685,0.02777799439849332,0.013047289204071149,0.013890592425617796,0.02537303511123173,0.006264188093521852,0.008305194001270139,0.01749535958621709,0.0023362351307923746,0.007889392328972462,0.018625072213821113
