Feature,imbalance_prices - Long_t+15min,imbalance_prices - Short_t+15min,imbalance_volumes - value_t+15min,imbalance_prices - Long_t+30min,imbalance_prices - Short_t+30min,imbalance_volumes - value_t+30min,imbalance_prices - Long_t+45min,imbalance_prices - Short_t+45min,imbalance_volumes - value_t+45min,imbalance_prices - Long_t+60min,imbalance_prices - Short_t+60min,imbalance_volumes - value_t+60min,imbalance_prices - Long_t+75min,imbalance_prices - Short_t+75min,imbalance_volumes - value_t+75min
hour,0.01946420839545317,0.022877750161336734,0.039580919764470306,0.022416735118371434,0.023262307106982915,0.04207676742877811,0.02080776532040909,0.024028028996195643,0.042157615336589516,0.030985045034671203,0.033025955787394194,0.054983840501867234,0.031030093050794676,0.032234899890609084,0.046790630190167576
dayofweek,0.004556112062603461,0.005281337828466349,0.010300576215037835,0.005055298147355643,0.0047470082852778435,0.01292838901120922,0.004632918649007479,0.005089423143957902,0.020940133066417274,0.005110509124562668,0.004354136943835328,0.012308738242871186,0.004510249045072897,0.004479434658411265,0.013364434753962996
dayofweek_sin,0.005952333168704428,0.004815950053883171,0.00952757076804255,0.006683960932433365,0.007108466902462169,0.011335099512837588,0.0076019592731126975,0.008472287487996936,0.016475627324100968,0.006491214244233561,0.006917097301978252,0.011996692618260568,0.00759199069724491,0.007858008746941777,0.010478612639620223
dayofweek_cos,0.006880224166394328,0.0053451385790322095,0.007222722675343902,0.005373907448465616,0.005317184185871156,0.006827292856594795,0.008383665340626066,0.006819377696912852,0.007532626865351631,0.0057987942926265535,0.006024008579928022,0.008024527592031518,0.007884905319666586,0.005866507547898437,0.01021613746623916
day_of_year,0.015679972897152766,0.013933028744038893,0.009020337855647086,0.017955253482236002,0.017184699370387534,0.007082294244191871,0.020466052589545144,0.020531090255652088,0.006286007823020441,0.021719388726283796,0.02475041460363991,0.010713020607265207,0.020354725884121763,0.023504790237609995,0.010929847753527611
is_holiday,0.0021461649247553395,0.0019483172320669837,0.00271845417924078,0.0023005173690344234,0.0023818077365704085,0.0030749908466234503,0.002380562740517121,0.0024542883631511357,0.0034501157016302384,0.002659468627822207,0.0027316611064061363,0.0034534688461872066,0.0028054203335282184,0.0026638545856221755,0.0034047672796426696
generation_import - Generation - Hydro Water Reservoir,0.002226095660431383,0.0018241471688579623,0.00411860051583426,0.005238526217599428,0.006268278762086993,0.0065678836939696335,0.007025379243086718,0.007410606021759122,0.012423391085353614,0.0023375973426454947,0.002316848000684331,0.003873352010778035,0.0033920802466698204,0.00232484537673281,0.004651143268621126
generation_import - Import - RO,0.0059725650975597094,0.005403827198468207,0.009201391523500206,0.004456969341408695,0.004680671095971775,0.010993118842263356,0.004902243293981883,0.004338894345535664,0.009423218154257484,0.006008588410240009,0.006614795388595667,0.012764444980151893,0.007482228277032846,0.006952493446369772,0.014423149226611713
intraday_wind_and_solar_forecast - Wind Onshore,0.007555707698904371,0.0020725151221258785,0.004708421897382323,0.004736361658226087,0.004699239316656531,0.007715845310347504,0.0024350307087051986,0.0033354122153068603,0.004456928473839071,0.007237851366171526,0.006819251169916243,0.015821174529890413,0.005805057906145521,0.005875565030992761,0.007666692247687024
generation - Other renewable - Actual Aggregated,0.01162116513605588,0.009459117828097363,0.014805325612253,0.009811692908115219,0.007402795833146228,0.016972978044708726,0.00874614853489038,0.008252403190985205,0.009542468850588194,0.011422725748670927,0.0101340925541881,0.016323297656330397,0.013619859856255061,0.0138762317354267,0.019995006664365066
activated_balancing_energy_prices - Price,0.02278483578914893,0.021845056314894463,0.012469211155379526,0.017187863097002265,0.017020194346172503,0.00826139443278953,0.014002149719650333,0.015467439011517854,0.00577866891650774,0.01625386680588417,0.01586090928473277,0.009852864012558712,0.013817070034041536,0.014753113432700048,0.0076237434620088605
generation - Hydro Run-of-river and poundage - Actual Aggregated,0.0035257867666819037,0.002309058612669901,0.004351538611066644,0.0032772684832980304,0.0032304007122045276,0.005202768303814537,0.006342391432695877,0.004930403419984827,0.004432113926854072,0.0074163167560764125,0.00656195755378576,0.010135301158250513,0.005504244661937264,0.005378439032611823,0.006938446836218646
wind_and_solar_forecast - Solar,0.006432820485759294,0.0099086665683717,0.006161174725476485,0.004152455724899937,0.005063968762640798,0.0077876642161390916,0.012779117215613952,0.01079075288846434,0.014677066797566682,0.013556194507184045,0.013503068691847147,0.021371860382427256,0.004277715657348381,0.004094137099832551,0.00738631784754034
generation_import - Generation - Hydro Run-of-river and poundage,0.00476441288060596,0.005183854053357208,0.004655682092816733,0.005529421925884483,0.004881634822489105,0.007063468726913925,0.0025904383387944565,0.0027078272710099895,0.0027315983957787466,0.0019052042230900952,0.0016529154727301148,0.003021372264108777,0.004961547691767919,0.004183214247697833,0.0038967859487256647
generation_import - Import - SK,0.030810664095952234,0.023151265180635164,0.0541453400204191,0.03321019314770092,0.030564615335562848,0.05669884556374564,0.030848312269547023,0.030473885128696566,0.061022779855993574,0.018696141706124762,0.01991423759724421,0.018064141106226315,0.023661767547688214,0.02729748164105695,0.044555922742605614
generation_import - Generation - Solar,0.11720675073377788,0.11450625045364722,0.27792017786682116,0.12564572115871123,0.11942554193479009,0.27574416898807974,0.12439973903214559,0.12105201127473265,0.2735240020523779,0.142254573488608,0.13815645271446556,0.2886161597995088,0.1546754387617111,0.14467604835890233,0.26872325214929876
100m_wind_speed_mean,0.004855772112325212,0.004439871931948346,0.004491570743627563,0.0051965050569451705,0.002331158817591131,0.004110437981320501,0.005991453044783156,0.006068865743507558,0.007928272395736713,0.010732258365140296,0.010246570291610625,0.018078247951438243,0.012136316429845464,0.011564934727903164,0.016472304737428202
generation - Fossil Gas - Actual Aggregated,0.177416919064126,0.16565465992968528,0.31600164812146614,0.143439287549234,0.14310021437065734,0.25057917520430784,0.14682595334062354,0.1430306826767046,0.25185125657499885,0.18600845378322992,0.18435935317818075,0.3334024610971101,0.19026894605276176,0.18003381315572187,0.30029210230032916
generation_import - Import - UA,0.03203769541707879,0.021789147011993918,0.05477029699309787,0.02824961432663258,0.026785334223415704,0.05930891751672607,0.0251037657881825,0.024541361927142135,0.06182354876573663,0.031568691473687065,0.027253762278705837,0.06444759348384105,0.030919115663333288,0.025069301835348598,0.06092091868611169
generation - Waste - Actual Aggregated,0.002779332236689697,0.0018050634618425648,0.004729825174363214,0.002357385115199577,0.0022798805948204973,0.004824474342267877,0.0020767525045225737,0.003767932524634489,0.003451562240164094,0.002286745638833054,0.002045926131651868,0.004418759872331521,0.0018639806896278382,0.001480828465693662,0.003315231718854193
generation - Nuclear - Actual Aggregated,0.007464147537826648,0.008412900496346992,0.00990754173066307,0.01208880430572026,0.012275341287662741,0.01891404963741661,0.007805337865429465,0.008258294717146782,0.017901466624869498,0.006795399494272715,0.005449405677354662,0.019236392144637647,0.005712964156731005,0.009040671085072973,0.01870665738196112
generation_import - Import - sum,0.008183993260005082,0.008269336076675245,0.011340158433682518,0.017679849988140633,0.014342641284223646,0.03832365299912635,0.013960426573616132,0.007828670557416671,0.025616136682685465,0.010164122499955283,0.01172011250007563,0.022831026073796237,0.009829284776868008,0.00929444482980034,0.012068017422756384
10m_wind_speed_mean,0.0031899825691925365,0.0022138042758450636,0.009283482348400866,0.002453634550318839,0.0025687698916744923,0.006161654319106674,0.002476924123846402,0.0029512553757995194,0.010533542136652613,0.002399620421540021,0.0025184686286524992,0.010748441861697756,0.0023419725479943737,0.0022191895970054246,0.00941440106317168
generation_import - Import - AT,0.03638110531203711,0.03522517321708438,0.0539889725879184,0.05248394306912087,0.05282431580728735,0.08728118612250546,0.05262361723950016,0.05030159104045015,0.07512602309724571,0.04113133374052631,0.04171972319000634,0.05807774211274227,0.038030426930752585,0.03737361604516627,0.04839342199449311
generation_import - Generation - Fossil Gas,0.1845205773669295,0.1683533345409669,0.31519028514181263,0.14378165459120645,0.1408353974618949,0.2355772062103497,0.14974748708074911,0.14607421037438326,0.2603586199321435,0.19688813885155831,0.1903943357965909,0.3572626524332445,0.2004423247963423,0.1863565650791861,0.31914240786852316
generation_import - Import - RS,0.00315203969635877,0.0016692670945981263,0.004668735007151554,0.006459854657485266,0.004829282663831691,0.006430537336604175,0.003803003086752142,0.003952118377350417,0.006235972389213884,0.0033504355923514597,0.003850142540449269,0.01652645894252055,0.003303811634388694,0.004705390823271045,0.005346842841638136
generation_import - Generation - Fossil Brown coal/Lignite,0.030988883382971837,0.029842158452243892,0.055388528823568775,0.042424166737677294,0.041246533724188336,0.08169439028506167,0.031867039094679056,0.031013488115233485,0.05912359765255678,0.027861673116695327,0.027349025936008388,0.04404557323663539,0.03509190196581767,0.03512118602263945,0.061830302435002524
generation_import - Generation - Nuclear,0.007847271960257786,0.00841936343672569,0.02210887630248908,0.013173549177889071,0.013548681713553378,0.02471545094071189,0.019099340783781373,0.01764586207762477,0.034128834246919725,0.01860976270143874,0.01826762381836306,0.030127563275396823,0.017783693454657624,0.012388433749860268,0.029576082471641712
generation_import - Generation - Wind Onshore,0.05959578106223489,0.05865184776991373,0.09703311307280092,0.056325232229719406,0.05380842477275292,0.0875235292964644,0.05105072179666604,0.05090907627731212,0.08816956053778995,0.046505413112259704,0.04738677503709914,0.08268868184590246,0.052537152241891816,0.04747354819024258,0.07660977855406235
load - Actual Load,0.16227565602969843,0.15351770582213067,0.29665904996474274,0.1659201320745051,0.16717556634102948,0.2856040704094339,0.16095989853492937,0.15456310939462856,0.26806339370366183,0.1640854079091805,0.16299289743974804,0.2692402107778471,0.18376901185791938,0.17442730577365728,0.28441729362029583
