Feature,imbalance_prices - Long_t+15min,imbalance_prices - Short_t+15min,imbalance_volumes - value_t+15min,imbalance_prices - Long_t+30min,imbalance_prices - Short_t+30min,imbalance_volumes - value_t+30min,imbalance_prices - Long_t+45min,imbalance_prices - Short_t+45min,imbalance_volumes - value_t+45min,imbalance_prices - Long_t+60min,imbalance_prices - Short_t+60min,imbalance_volumes - value_t+60min,imbalance_prices - Long_t+75min,imbalance_prices - Short_t+75min,imbalance_volumes - value_t+75min
hour,0.004621085821722773,0.0054247573330067096,0.0031941168155681225,0.002320638483341952,0.004365673760253231,0.0027108151807688045,0.0107111990248668,0.009596713604074466,0.0017490746929843227,0.005590598762279114,0.006232851869915976,0.0027386419331032813,0.00788694773215684,0.0065923970875171566,0.00266617405511397
dayofweek,0.004851141598030949,0.004744730771362981,0.002734040778812414,0.004421506381119116,0.0056608547120213185,0.0021313162404381957,0.005535195751371702,0.00585600310875293,0.004122722819454794,0.006938751083881073,0.003938979280609601,0.007932577247245035,0.005303950438506035,0.004584581414525018,0.0032687278989324115
dayofweek_sin,0.0022565650191337452,0.002011318478542307,0.0030837421638684644,0.0010476763121985185,0.0027006996980437634,0.0044699185412122805,0.006472551798550739,0.0024762531573708202,0.003661915552789253,0.0032057353082582266,0.001437425559256667,0.0031520615849791084,0.005600230306325102,0.0027449157158334855,0.0023858860738546353
dayofweek_cos,0.0023865887313504574,0.0019091658370875848,0.005285064409021288,0.0022201000239565473,0.001697714684408311,0.011040548488497734,0.001754639973543817,0.0016303910205588182,0.007487442129291594,0.0022897123939815173,0.0036909525438577474,0.006751045106560923,0.001781446378890905,0.0051644357620098166,0.009305922681232915
day_of_year,0.012129141482786508,0.014003560958888557,0.0033771735116079073,0.008778011133646941,0.008983476383771631,0.00668316112532375,0.008574668232540716,0.010315000466274796,0.002837238522929283,0.01258007987246674,0.010047563936881488,0.005090008233466506,0.009945476977649378,0.010972923919128562,0.0025702083018659325
is_holiday,0.0019747393585639655,0.0024644586790637957,0.003405566387111321,0.0013638718809443162,0.002435640648473054,0.0034859558404423297,0.001709542360825708,0.0028220861191584844,0.005489930027863011,0.0033346285306615755,0.00386819392896723,0.00443202773667872,0.0034080995909171177,0.004339544727932662,0.006867557985708117
intraday_wind_and_solar_forecast - Wind Onshore,0.012035499060351867,0.010453202333483205,0.0044843950341783055,0.011623409002473635,0.009684138701595657,0.006270017054234131,0.0049138440495817125,0.0026267205377134813,0.01251119013475909,0.011984404736867873,0.002390716385446012,0.004342806279692923,0.005598426459103848,0.011194787280946911,0.007083883237158261
generation - Hydro Pumped Storage - Actual Consumption,0.004723706804434187,0.00452707712836127,0.004302150366769638,0.004145757584244166,0.0028319204496672227,0.004760126668705198,0.003936637302522286,0.0020175405380955455,0.005463921645969094,0.0016491092605401719,0.0013890750562607081,0.004956824467068145,0.0022512891684607437,0.002052190687212715,0.004810487235474284
import - RU_KGD,0.004370534203164425,0.0023708750126024826,0.007303679106149502,0.002071384727745226,0.002229379631506191,0.003936602436258908,0.0019177258327247274,0.0021811618913852725,0.003652444970890073,0.002065510971721778,0.004752957997319754,0.0034257521920853834,0.0037235457797251,0.003015495834408739,0.00421816843523925
generation - Hydro Run-of-river and poundage - Actual Aggregated,0.008668432539212517,0.011006843689945527,0.004059458716918016,0.0023048286930416,0.006769863514913595,0.0021192394774927834,0.005391385454237024,0.006209213246162108,0.0014716055045714712,0.006028555300348671,0.004939380547810288,0.0012300685076349397,0.004932285602099796,0.006770135140017374,0.0022407575845136305
