Feature,imbalance_prices - Long_t+15min,imbalance_prices - Short_t+15min,imbalance_volumes - value_t+15min,imbalance_prices - Long_t+30min,imbalance_prices - Short_t+30min,imbalance_volumes - value_t+30min,imbalance_prices - Long_t+45min,imbalance_prices - Short_t+45min,imbalance_volumes - value_t+45min,imbalance_prices - Long_t+60min,imbalance_prices - Short_t+60min,imbalance_volumes - value_t+60min,imbalance_prices - Long_t+75min,imbalance_prices - Short_t+75min,imbalance_volumes - value_t+75min
hour,0.010177798854067078,0.00932184065122874,0.010427147979560687,0.00812453250467297,0.008980763011701129,0.013375049935199059,0.014516026372461056,0.01385439766694617,0.009661972295905798,0.028337951111985605,0.02640148298605891,0.013583717798965608,0.02996455381544365,0.02992477886578854,0.012033377558896973
dayofweek,0.026845669158406964,0.0255246249036627,0.01661451528346879,0.02950679401207708,0.030117896574600764,0.02426522521766674,0.030138378241936836,0.03313800051225297,0.027772877900730235,0.033872323044801304,0.03166819651216792,0.027170854692347347,0.03251640592151398,0.033260959076166725,0.02944380637974973
dayofweek_sin,0.013749100527755218,0.012885859259542486,0.013894827422891467,0.014371739927948511,0.01589694185342523,0.017045598648408485,0.013139296136359916,0.017648832935723478,0.01891351074213162,0.014901832359813853,0.015615825411690822,0.019016953959701367,0.014455151397560257,0.013830793480621651,0.016730675499888093
dayofweek_cos,0.012774440369352305,0.01303999977449712,0.008391528346843188,0.014281891095376522,0.012998037200544786,0.00921783464703185,0.015885075346745,0.014814616025412761,0.009916123910641545,0.015824603871107682,0.015772888498188878,0.009585388949668414,0.013438929526644643,0.012789998601258049,0.009306611472311488
day_of_year,0.013162619813974742,0.01267546811657303,0.04029234821908176,0.014250221759175475,0.015571037741639884,0.04619442928489298,0.021510823921511473,0.0179909903022417,0.05899939654953778,0.017609483991429444,0.0170433113113977,0.06052716089785099,0.015921296708489536,0.01716063029828365,0.05878090612590313
is_holiday,0.002651029999852824,0.0024974064575253576,0.007069748996425915,0.0028809652674353856,0.003560293768064639,0.00803756432638329,0.0034879713004233965,0.003597307156849638,0.00951550109658274,0.003203767180338218,0.0030721646103656895,0.009361513321870006,0.0038291477914754067,0.0031587435605101746,0.008708437392779161
ssrd_std_j_m2,0.009775655477365945,0.011385368019051384,0.007296376388136195,0.00628617105412468,0.006444661926858317,0.008670317058673391,0.006995539912016284,0.005427594276241507,0.009592564066449994,0.00552937457209191,0.004502623065822718,0.007916295037641248,0.005058852388103332,0.0058537591805106785,0.005815507940842508
10m_wind_speed_std,0.006708921648067189,0.006664901417498186,0.01674898654600838,0.006489180341541214,0.005582584464156071,0.023567340866691665,0.006786135436082986,0.006739466707524116,0.01911851540701173,0.007387655290493967,0.005574681130841782,0.016603207962049053,0.006770681663088908,0.005615251682562075,0.008611008465717532
10m_wind_speed_mean,0.010573525499445622,0.012385834745302419,0.009827403017287907,0.014502596089645521,0.014256558768401192,0.009140966365241183,0.015045468181513571,0.014782083112358122,0.011548081045480102,0.013943308402365802,0.015606349492833033,0.010088112703946536,0.012687701356597244,0.012986512678757209,0.008294108358874838
intraday_wind_and_solar_forecast - Wind Onshore,0.009415991232286616,0.0075498432970562135,0.020335392701286766,0.005037784496640598,0.0053341138858013434,0.010763984994016937,0.004814699271011705,0.005399387008917984,0.00745699113638716,0.00424402279640708,0.003528653712084633,0.009825063759212754,0.0038185026132791793,0.004012988683398931,0.008277051965269493
wind_and_solar_forecast - Wind Onshore,0.008411333487056255,0.0070630782476691824,0.010935460738895926,0.004263566503948823,0.004235653469041608,0.011312143286823811,0.004891777922686742,0.005932289588094136,0.012708648224943317,0.004517013043624275,0.006789923099478983,0.011783977984332523,0.004237755030153949,0.005045943558912768,0.009449511666462058
ssrd_mean_j_m2,0.004625214565493934,0.004131162143531128,0.007009012993866236,0.009605916177060863,0.009562149638470145,0.013056483355954697,0.019784884140681244,0.02305274281912716,0.030787513429055252,0.03132515757682268,0.026386434792701037,0.04479368600831367,0.02990077184891561,0.030222056694910862,0.039251079492853024
temperature_mean_celsius,0.018285287017730297,0.019827507743262685,0.03828746384143596,0.01999159340387996,0.019941667342063738,0.03743661689473083,0.022901593832240906,0.019669132667295343,0.03635656622436363,0.020407349932989746,0.020039136790554038,0.03662793932948261,0.01798028421489289,0.014771571870151093,0.034641464279033245
generation_forecast - value,0.0031721324798818385,0.0039117545002354745,0.04177806025581231,0.005250294368177492,0.005088521904974186,0.045710062608501176,0.005585475593413776,0.004007688491113072,0.04411529618896748,0.004277944815217779,0.005270680112444097,0.039073929573223726,0.004320398334160018,0.0034342288128113977,0.024949567648647645
temperature_std_celsius,0.004835097132451864,0.004578926436144684,0.01567458261463253,0.0048437187377185185,0.004879083417992661,0.011203325957213565,0.005255369717733629,0.0062115368184604445,0.00837291697632736,0.005301638176603319,0.004787794005970682,0.008912230709640426,0.004493810976251553,0.0050516927691842285,0.008414560067853018
100m_wind_speed_std,0.003294142619566628,0.004060578525588426,0.017053050847673147,0.0036115424113354493,0.003919574769134613,0.01608766352902603,0.004254307833552957,0.003829115653104964,0.019468083722713345,0.0037531336104589174,0.003511903941649507,0.022201801342802356,0.003887737526214096,0.004570855310232219,0.023439572386370854
100m_wind_speed_mean,0.007803698822484876,0.008327150868466561,0.0060868691178502556,0.009921373387856874,0.00911387773081151,0.00915114498625735,0.006338402863486408,0.005642167363610497,0.014174758137852224,0.006581633350280754,0.006800498165641329,0.014448798621939204,0.006020681112182501,0.006208397431786125,0.011341579016130709
intraday_wind_and_solar_forecast - Wind Onshore_t-150min,0.004867020370341379,0.0050895115539242395,0.011520374660845847,0.0043360864163014415,0.0042902891003996045,0.010848966929275776,0.0041438954778286645,0.004245130396651916,0.016262381952939903,0.0045146998458876625,0.004735882365227553,0.016663156609545694,0.004043965585392471,0.003977904853417385,0.011113451095710844
100m_wind_speed_mean_t-150min,0.0050845737375102545,0.0034263579299804404,0.007095281251829874,0.0042630006035351475,0.004227965457655728,0.006487188074148434,0.005619518503075596,0.005677120249993095,0.006133300700074869,0.009119121753883519,0.007696617881416159,0.010374638195877197,0.010448306697043335,0.007908454437201727,0.014901555070158792
10m_wind_speed_mean_t-150min,0.00459044074610523,0.004200849186516734,0.02407933292704547,0.0053729834909681815,0.005194385998413054,0.028809404763451313,0.00483750312399934,0.0057536459795710475,0.02343834385606533,0.007280062153247855,0.006098628299678239,0.02005349583136558,0.0072132874547965005,0.008229549280362335,0.01767647655633482
100m_wind_speed_std_t-150min,0.005770127748471168,0.006282019052592659,0.014732693698144431,0.009039727573494019,0.008331138978159288,0.015158982766100962,0.00746299104048012,0.005753829547007399,0.00818540725127241,0.00503029771562251,0.00529880778999177,0.0048707892776456,0.0047823359476506086,0.005034439792183548,0.004913291633347399
10m_wind_speed_std_t-150min,0.004369227386976491,0.005184628764181297,0.010739554265092011,0.0068615165750379676,0.004795039078861009,0.008628183597003954,0.0044954689661899465,0.005443304412929592,0.008535885127615984,0.006150700103584313,0.005345956652618043,0.007750613330877514,0.005606477009190712,0.004726379955191419,0.00913655438691876
wind_and_solar_forecast - Wind Onshore_t-150min,0.00494243770152434,0.0047915494137459975,0.007333650631233468,0.009715864133337164,0.007124266269605869,0.006789116543756791,0.007198110080855258,0.007678415337570186,0.0061643342003044384,0.00799367607237582,0.009559413042625238,0.010047471464131376,0.0115778184759547,0.012552241954659905,0.010151864388652029
ssrd_mean_j_m2_t-150min,0.006233284602372805,0.00638409078472796,0.01916974152391049,0.009443619816494902,0.009874144949564652,0.027917974329335266,0.013738859547418542,0.012245899315239513,0.034395804321044124,0.022815748819606598,0.01931497135844984,0.03624472140477155,0.019087430324558226,0.025456907524509007,0.0314580590405385
ssrd_std_j_m2_t-150min,0.011879290262237191,0.01100139499350189,0.010872751819955739,0.010477439479363965,0.012776819697319298,0.014949671487330533,0.016225732727099967,0.015466231970262015,0.020027338053361744,0.0220559052875833,0.01881075052972301,0.02827305726724444,0.020626766609057087,0.020057860338391038,0.02832509802863933
intraday_wind_and_solar_forecast - Wind Onshore_t-135min,0.008930128138179498,0.007843888917472213,0.013635796124211993,0.0049817702491027375,0.006652194567348488,0.018464755954570138,0.006746490768673539,0.006497919781271776,0.014395563260855851,0.005219721501587628,0.005142185124554089,0.014669497244096419,0.004949265268866839,0.004827528012631319,0.014886579054789763
100m_wind_speed_mean_t-135min,0.005783273839799222,0.004253708313432071,0.012448271703426144,0.004949815721436153,0.004852019057781945,0.005622415839404311,0.005000544586788237,0.0056539229850423,0.012346470366202993,0.005221295318124248,0.010062917033432314,0.009871036084063235,0.006896161072632822,0.005222734341276464,0.006954426734620938
10m_wind_speed_mean_t-135min,0.011227987695363652,0.013735009486095805,0.0077017221665436186,0.011857214007133734,0.010914661009955126,0.010898308303143039,0.009070891322793614,0.008291906745158485,0.01000908870197236,0.012154285020120824,0.010442726468332693,0.01067187155208103,0.00785368287205256,0.006928729064146865,0.009888303206036652
100m_wind_speed_std_t-135min,0.004880190426589251,0.005007089166338119,0.007307626853499415,0.0048259717220707895,0.005329046355021582,0.008053820880182683,0.005619670099596988,0.005417087019974133,0.006987375345372129,0.007541610437893724,0.006742451625259491,0.01034978397264058,0.008633629012691017,0.006229217111278558,0.008053009058742646
10m_wind_speed_std_t-135min,0.01681593935714045,0.013086191493307524,0.012467356257136998,0.016128591568543925,0.01565344692724102,0.014154128484322428,0.01950672751833872,0.016096540267901673,0.01294822647829642,0.017167243982680703,0.017287636302186,0.019805239981607884,0.018285359009540116,0.02129071701783505,0.019216179015675152
wind_and_solar_forecast - Wind Onshore_t-135min,0.0041205078739876624,0.004423386749244855,0.005613294264572687,0.004050237490108941,0.00416620226950181,0.006099362384274173,0.007647538575187355,0.0051341954534250365,0.007182793476658162,0.0073649873140166165,0.007252201406881341,0.013486295188680742,0.0077165000205277464,0.008236055276353,0.01686616682964086
ssrd_mean_j_m2_t-135min,0.011295048613508697,0.012387245319201611,0.007967104405906866,0.014900440648298173,0.015659912640374387,0.010906136633641381,0.014806370464848442,0.0156626041470372,0.011330274304855266,0.008433744808904521,0.009196042624052098,0.010338686965755187,0.006041656034936068,0.005646953168157779,0.008528626442347559
ssrd_std_j_m2_t-135min,0.0133023059371626,0.01985672163424897,0.02022447629224189,0.011665514912652724,0.015334183619393116,0.01809193634300027,0.009186884625974926,0.008703140100404199,0.012286584439749277,0.005444713851352276,0.0050301798399441395,0.007196708554893121,0.005563291384041804,0.005201753031749831,0.005167117288563986
