Feature,imbalance_prices - Long_t+15min,imbalance_prices - Short_t+15min,imbalance_volumes - value_t+15min,imbalance_prices - Long_t+30min,imbalance_prices - Short_t+30min,imbalance_volumes - value_t+30min,imbalance_prices - Long_t+45min,imbalance_prices - Short_t+45min,imbalance_volumes - value_t+45min,imbalance_prices - Long_t+60min,imbalance_prices - Short_t+60min,imbalance_volumes - value_t+60min,imbalance_prices - Long_t+75min,imbalance_prices - Short_t+75min,imbalance_volumes - value_t+75min
hour,0.0079617665481328,0.0031941747360742737,0.006668168049078303,0.0023408834872016087,0.004789500580900494,0.004146006511294445,0.003252199530660846,0.0056494582859122604,0.006976645798892605,0.0037842270350076177,0.0024993546768150737,0.005669333680675322,0.0025118390863581226,0.0040583739551807415,0.005022197972496087
dayofweek,0.0066402662459440764,0.006811294463259628,0.0022772358052079653,0.004874731820712441,0.0051427495705211185,0.002921427508937654,0.005331746138334893,0.0038341519301720835,0.004568157590277224,0.0026569516516869954,0.0037738347645336033,0.0032746776171725285,0.0027816660956111717,0.004642339872654702,0.0030122036046766427
dayofweek_sin,0.0036849017570773413,0.004241281721841006,0.0029672019211093355,0.005753062164074436,0.0034381980321777517,0.0032357047279642755,0.006587053360790833,0.0028052610666754844,0.005506340026728822,0.0031025635942187363,0.004412485806829863,0.004022073998177859,0.004238481842541659,0.006771300797912772,0.0062108425739983205
dayofweek_cos,0.007626234748557181,0.0057022964368043175,0.016007415159838275,0.005302947650746659,0.004435964016268372,0.014351797424722463,0.0034164829555902543,0.0033091924578253613,0.01082013823708985,0.007309351543310185,0.004342515420445125,0.01005207448930014,0.007870143218400698,0.006461845938298211,0.0075863392746032335
day_of_year,0.004895848959311479,0.00964417544127582,0.015088339034071396,0.009160966298006315,0.005141996395911065,0.011792394865488404,0.004177597366193367,0.0036021006348100856,0.011308190636042128,0.0026351965400754126,0.002297171207195788,0.007111386159914218,0.004482178446052785,0.002776438928240168,0.008797230050975486
is_holiday,0.0014897272548032561,0.0009121479151858693,0.003425876624032753,0.002828343607152419,0.0025462080844890806,0.0010131240004782286,0.002598275425045358,0.0019819479778379902,0.0037420448387747458,0.002630950268918241,0.0015011706674872584,0.0011374952274240968,0.001036484911269781,0.0026800996496822334,0.0010810545141093826
generation_import - Generation - Fossil Coal-derived gas,0.008743548683452673,0.0038141857909358805,0.011281795693733557,0.002964119492466125,0.0036771157426392165,0.013332258846610785,0.0031432012502496036,0.005301398806630459,0.013944057105341925,0.0033726144095644487,0.006245023698917521,0.00975166515458841,0.006693130625473714,0.005050878372076113,0.010787550005683443
generation_import - Generation - Hydro Water Reservoir,0.011427008803673743,0.009540773811844701,0.006402620196615316,0.009328310370226973,0.009791392044513486,0.001813347672906275,0.009241726500113146,0.00916899495119651,0.0024408955595581574,0.01063366304387091,0.007904854860473279,0.0024136789702276927,0.006024647784473018,0.006849447401549242,0.0029458142411822336
intraday_wind_and_solar_forecast - Wind Onshore,0.006361216831173806,0.0033393377387656072,0.0028824858822981696,0.006163429421409091,0.0030466307915103246,0.0035484872972747325,0.00457183853505012,0.0033993337026513473,0.002996629732351721,0.005073875440612028,0.004585958564337488,0.0025525162420271955,0.004388840360359609,0.0034379945849286743,0.002682830101970467
generation_import - Generation - Hydro Run-of-river and poundage,0.006699598540653824,0.00796464425917111,0.010575278340249497,0.007462487933184093,0.00991139599672897,0.006252802328872349,0.010887201773934067,0.006891538039950319,0.004608515755560802,0.008457968239861656,0.007832933895026144,0.003811560221070067,0.0030451239837539106,0.005977358686515799,0.0052646540787209236
