Feature,imbalance_prices - Long_t+15min,imbalance_prices - Short_t+15min,imbalance_volumes - value_t+15min,imbalance_prices - Long_t+30min,imbalance_prices - Short_t+30min,imbalance_volumes - value_t+30min,imbalance_prices - Long_t+45min,imbalance_prices - Short_t+45min,imbalance_volumes - value_t+45min,imbalance_prices - Long_t+60min,imbalance_prices - Short_t+60min,imbalance_volumes - value_t+60min,imbalance_prices - Long_t+75min,imbalance_prices - Short_t+75min,imbalance_volumes - value_t+75min
hour,0.006467745991770244,0.006864586036639594,0.013241122993451426,0.0037919390391980413,0.0032201297926185363,0.014267481361050159,0.009672205662622219,0.00946937010626425,0.007887264119934116,0.0226213999712636,0.01171242591624332,0.006911970352593926,0.022525541658658766,0.015784709722192928,0.01227942201672704
dayofweek,0.03037970900605433,0.008403368494327879,0.008767114147622579,0.030810430376048317,0.012445598252670607,0.012800285396631807,0.032585276480720494,0.015173548852389104,0.012745544052015475,0.03912287243017318,0.014629117050477362,0.015387447509361664,0.03435988630217253,0.013955232221629558,0.012700950954065775
dayofweek_sin,0.010348566659674362,0.005307579516669648,0.006498325752010714,0.008344041357817331,0.005369951918073639,0.006896661674547431,0.005616242924362496,0.005097079227147333,0.0067706053119472925,0.007012994948798564,0.00585347543349053,0.007568900621508874,0.0034397418472758546,0.006814779891377839,0.005718561246936588
dayofweek_cos,0.005652272939323666,0.003742476017981971,0.008054867306847882,0.004854657301892076,0.004782202669106482,0.008782746278291597,0.006379834754370677,0.003302990065087215,0.0067522921072004465,0.008835358002157135,0.004198090886387945,0.00630651621326615,0.007494498249905973,0.0048446564455082355,0.005331690128205082
day_of_year,0.010662513819792366,0.004923437604983519,0.016795385012701444,0.008897696194475429,0.0046727998581500285,0.021964202060191382,0.00828002621064661,0.0050386908739237695,0.020653374745898873,0.010218463501194493,0.004187366113480494,0.022641620851045444,0.007563272874780523,0.005353804501471131,0.024138652584369993
is_holiday,0.0012467178203835374,0.0024229679413492705,0.0036116644366504715,0.001578925845960839,0.0027855593796375614,0.004125906364635739,0.00196830418908678,0.0022003642472095634,0.0039528481763472885,0.0020814854953135863,0.0028066655924649238,0.004047259898708944,0.002304644572414645,0.0025304121146023134,0.0039837540474727574
ssrd_std_j_m2,0.003663200899634603,0.011254787542788108,0.01625799974709662,0.006510689624292354,0.011585995413406635,0.015066400750423781,0.008268195282271336,0.013457680300067295,0.020334382988672586,0.010538988535207863,0.015126112022939196,0.019802494420539007,0.011141583597807767,0.014340737143731304,0.020412668497403502
10m_wind_speed_std,0.004811496813139456,0.015927826660103166,0.015571774941519834,0.007577547716296976,0.008643634664018464,0.015375407724553952,0.006445744710774306,0.0153629150487468,0.01056657310706214,0.012360718587122392,0.01591110638792452,0.005046114996801407,0.016217160506377695,0.01812462974980008,0.005976747697820884
10m_wind_speed_mean,0.004601156081762383,0.0082348121476316,0.028862219423761416,0.005446133646433736,0.01239081760053523,0.025725680049406948,0.003755428132678844,0.015699776028955968,0.02394083217397565,0.004922855004708253,0.015788641825079823,0.020448163282067982,0.004209504093611031,0.015393512126946007,0.019408667717594655
ssrd_mean_j_m2,0.016889363403366588,0.01403209056997366,0.008753466454233604,0.016814077482744324,0.010344911246429547,0.010217173426868613,0.025605439058912452,0.021055255889426916,0.013366405611544906,0.03081491529745108,0.03036934177429066,0.023595797624806437,0.03219873383839149,0.0319561583666291,0.02639566569262024
temperature_mean_celsius,0.004921714641127437,0.004458174163069998,0.09295832827081904,0.017624397907420642,0.011717906047619181,0.09034169591771206,0.017439143805517688,0.01639626976724594,0.08508329520415282,0.024112756042944966,0.01217037868994612,0.07772576630231924,0.016522811641430962,0.017194829061449125,0.07350797008883819
activated_balancing_energy_prices - Price,0.035592678536737365,0.018638675555033842,0.03019319977403211,0.036693241586821385,0.01602747326005192,0.027522713023667166,0.03362540082448686,0.015144215638982132,0.027699735339323524,0.028342156342987437,0.013666616921481363,0.022801098596859446,0.03222998020744126,0.015157009296526667,0.0164425790393434
temperature_std_celsius,0.016406951915938408,0.015941209080724092,0.04843747553299181,0.022991306388368004,0.01620530869700133,0.04456769431993598,0.01993476382600784,0.01622277540057985,0.040439837348232685,0.02099633277164321,0.016519897615973604,0.031951432300294985,0.01811163593933452,0.013020715195059892,0.035631660771527095
100m_wind_speed_std,0.0027622914837347706,0.006471558635825204,0.010721348594021038,0.00565623019442819,0.003743432910348929,0.009726231524298783,0.006612834659455984,0.00995253731417506,0.006603940533692366,0.005447212789160062,0.008014570931729395,0.006518033485781416,0.010676855038080248,0.010621688147686655,0.0064140878911293836
100m_wind_speed_mean,0.017063600921038414,0.0050600466393079845,0.010822983759680938,0.010002381724987571,0.00566658074019142,0.011403906955139974,0.007130493403787114,0.008432418958906056,0.008767819524142396,0.00771608667754117,0.0063786429961305655,0.010762473112205044,0.007341272502961147,0.007613950655344525,0.008650236394456442
100m_wind_speed_mean_t-150min,0.009773445621518476,0.004978606525930445,0.014373772021346667,0.010473156269734317,0.008589541362598539,0.011282345597945095,0.009020501417693595,0.008277603717007878,0.011552421434347707,0.01671300999633968,0.010468335698176588,0.007128130391522063,0.018629098279216123,0.010666215766817913,0.007007233104769057
10m_wind_speed_mean_t-150min,0.012043303323996953,0.006207768036386369,0.0073408410156444006,0.014553203174218652,0.012193760687703616,0.009474098932118978,0.012368575812251948,0.015552640131936642,0.011607914260450342,0.016984235051644647,0.019546254520731964,0.012855602958047711,0.017641417592588367,0.01904646998588578,0.0071616937134458564
100m_wind_speed_std_t-150min,0.010570795000398902,0.01562948427703668,0.014260715444657762,0.007532402323838596,0.013532915173920627,0.00816884406306781,0.010487291523895692,0.012562861106936907,0.013387025828618788,0.007920145326617785,0.007250800433709628,0.016262991970615984,0.0054420073827132,0.0085095967590496,0.01648087041382678
10m_wind_speed_std_t-150min,0.017367831309857137,0.013630614543068078,0.018884213438489724,0.004173377356291951,0.007218378246905559,0.015294071496515243,0.00821528018430763,0.00974174518071959,0.014781192939655739,0.006458023801130366,0.004011355602577169,0.017010674410550566,0.007235631011330952,0.005867567449698982,0.01592322934581898
ssrd_mean_j_m2_t-150min,0.005460475871178062,0.007079524165965268,0.019308160209504422,0.009114173517773452,0.008523182661854662,0.02343561297265114,0.015401411305947476,0.015671029637844187,0.02030103744588814,0.02320768473914359,0.01995556188102637,0.02640881350725249,0.029443454492022285,0.02403972398179758,0.02104035321730771
ssrd_std_j_m2_t-150min,0.010984366502263584,0.004794311567959085,0.01687289956256427,0.008775390571980096,0.006864019855918059,0.01435748273426725,0.010309660521379556,0.0036145472685730055,0.017572885559020507,0.008628954630301451,0.003942466391645211,0.021334503544014297,0.006788897069920495,0.003935950317259085,0.018746810828139133
100m_wind_speed_mean_t-135min,0.007705475246124934,0.015036538321219269,0.023200297975286957,0.008961012709551141,0.0173601910930156,0.019936143861679738,0.009125035231594665,0.014935225561453989,0.01316543532650394,0.004915690710484341,0.011814055902679683,0.009832019174391462,0.009963785458658093,0.011408930636856439,0.010045560247040385
10m_wind_speed_mean_t-135min,0.007411435969974263,0.010145925794931827,0.012943225483802962,0.003694484518192439,0.012861584257923823,0.014348074574954808,0.005422390748814905,0.014767783485411655,0.006691637937910855,0.013722339507876314,0.01283662114226172,0.00759660705153874,0.00678377981574522,0.012757877758180257,0.005753400237585993
