Feature,imbalance_prices - Long_t+15min,imbalance_prices - Short_t+15min,imbalance_volumes - value_t+15min,imbalance_prices - Long_t+30min,imbalance_prices - Short_t+30min,imbalance_volumes - value_t+30min,imbalance_prices - Long_t+45min,imbalance_prices - Short_t+45min,imbalance_volumes - value_t+45min,imbalance_prices - Long_t+60min,imbalance_prices - Short_t+60min,imbalance_volumes - value_t+60min,imbalance_prices - Long_t+75min,imbalance_prices - Short_t+75min,imbalance_volumes - value_t+75min
hour,0.005521528007604502,0.005459562481668399,0.004998048542254764,0.00567390198114299,0.005793520171868749,0.0065549497479232745,0.0036133896808078136,0.0038455490802771237,0.004062098602252263,0.00484413742164088,0.0043165290488008734,0.005264218256816094,0.004579317060835819,0.004323329313583599,0.0061343238214849405
dayofweek,0.004816250631907678,0.008934680206290067,0.011034341444516031,0.0034618643456669814,0.006392474245940321,0.012423956029495458,0.0035783714944527673,0.007777986795957077,0.0102873538350359,0.004093675299942334,0.008328341114808608,0.01367708138586022,0.005099185710038001,0.009613005446624811,0.015432855083970935
dayofweek_sin,0.007190256424266408,0.00657052016453072,0.005561652547947233,0.006738527160543527,0.005771104036835823,0.005188034779262125,0.010787379564825643,0.008750514342929819,0.004672753132686921,0.00990056053726039,0.01041943984311638,0.006670909269800177,0.009683836593838351,0.009260661221536964,0.00581838491016606
dayofweek_cos,0.004556467289890861,0.004852343785803896,0.010633217286347644,0.0037119344277084564,0.0041894866352330095,0.007619482814243383,0.004256430310162614,0.005746801089534528,0.012765171530336374,0.0049540623929297,0.007778833928568929,0.014731688968742674,0.005521061524979814,0.00663361243156578,0.016245520067121107
day_of_year,0.030060625445767073,0.037145750419975226,0.024191484617913376,0.029034301171748666,0.033322606048139275,0.025310421684827816,0.03239874262386001,0.035875968945765634,0.02298408929366269,0.03197531542988145,0.03787696100683752,0.03039233564434835,0.03180474149668589,0.03714418835385368,0.03233855117947678
is_holiday,0.002265921076691029,0.002059661043342203,0.0034563369830566443,0.0022669819181110142,0.0021152079720037874,0.0034810724871003913,0.003981206217041745,0.0024274680588587216,0.0029885122014488845,0.002722155768728911,0.0023651208040082567,0.003295658579983865,0.0025704741754097996,0.002446640219485289,0.0031398463511077353
generation_import - Generation - Hydro Water Reservoir,0.053313215006899554,0.05481720378951286,0.1208648986654589,0.04567013715664507,0.04902698940492701,0.11142106200824492,0.051017839700041805,0.05981012525287224,0.11253597588127014,0.06878340603853576,0.06998360292392317,0.11397677391575417,0.06397161155898357,0.06843302587169456,0.10213299868046306
import - HU,0.061240831657793024,0.06317338259943063,0.06832135913922684,0.05604613319305463,0.05670738884620369,0.07069672092616656,0.05002182586640993,0.05158141213588533,0.06380575663709896,0.05993156162771629,0.06280269690643764,0.06924158594448818,0.05777709328371566,0.05238568614976248,0.05998025483911624
intraday_wind_and_solar_forecast - Wind Onshore,0.01721836924321542,0.022695329095964552,0.0328610530388396,0.015548825887784916,0.02461141115560531,0.03468930535114487,0.022559530573278606,0.030750241871282925,0.03685117740300484,0.028718639280639762,0.03279374265905062,0.04045588210207643,0.024905176106709406,0.02896074764666264,0.03672527104104301
generation_import - Import - HU,0.05534988135381718,0.04693345184226564,0.062167520823626546,0.04715208512745448,0.04822501848751563,0.06500215579819632,0.04861203880677931,0.047785691166151084,0.06711374159801926,0.056867585430125475,0.05510978913377039,0.06835919931717217,0.05775612899046973,0.052731553005338355,0.06716512700470048
generation - Fossil Hard coal,0.0041370374855014234,0.006467938852350926,0.0035103554317011004,0.001525589171807951,0.002886038988946893,0.005084633152699098,0.002982243157330231,0.0036715711730139445,0.00422835002157808,0.0064252692421432585,0.005331973129281323,0.004233470014169143,0.005854944776543561,0.006348340903234203,0.0035679378659897337
activated_balancing_energy_prices - Price,0.003207169109166898,0.0032427145701458358,0.0018130053522622802,0.0023957885058284775,0.002131631546407789,0.0016141212769380218,0.0028614685534665797,0.0020694833692525665,0.001079997605722383,0.002748270746887556,0.002107237069494204,0.0013551345680998565,0.0027389069929968173,0.0026097808956142216,0.0015170143313400785
wind_and_solar_forecast - Solar,0.010393393379695226,0.0068108700100501665,0.01611744209694734,0.005567488975121023,0.004168256537630441,0.0089873155593923,0.011438173395956255,0.009980726084886555,0.01626593805817538,0.016483415488197352,0.02097710359375924,0.03326090729361749,0.010148032094934024,0.008634652621622536,0.023410384529328438
generation_import - Generation - Hydro Run-of-river and poundage,0.0530011665513448,0.05226934568372962,0.09832267614733428,0.05588104147811828,0.05788663134497256,0.09565819519641809,0.05789950911026244,0.058200122780282984,0.09644238923501688,0.062285325375269165,0.06605973988490586,0.09388010221479635,0.06580086728079186,0.06338790442462941,0.09068643895427522
generation - Hydro Water Reservoir,0.06537403496401384,0.06766407288750634,0.11688591431491659,0.059658267134102064,0.06518734388286247,0.10988197833381128,0.052101177341188305,0.06096913379931357,0.10276491205987986,0.0680136698196875,0.06420117087429389,0.10389866360771703,0.06781650369746058,0.06769069848069921,0.0982716303752968
generation_import - Generation - Solar,0.06880406316020526,0.07021320628805551,0.10520344578963704,0.06795159975066781,0.0762276705079712,0.09884940658989945,0.07005206478305627,0.07619479999432224,0.0956748269275995,0.07159691544891393,0.07334306435420876,0.0946646016066079,0.06884542165015592,0.07017412003607024,0.09083210779853834
100m_wind_speed_mean,0.01063719719728033,0.009422153612626062,0.006183272766531445,0.012076356408979336,0.013587304770095216,0.007682672457600347,0.005459726007225982,0.00731133426102133,0.00402632311108664,0.005412240438633489,0.005852241369421421,0.004374419702522232,0.006615105987293646,0.00988704786531889,0.005070623637974677
import - sum,0.009721754635948855,0.0044102505818882495,0.00838230165636196,0.006362984510951037,0.008094610856687723,0.005632235259337904,0.005399600412245945,0.011971059496354429,0.007087605677526995,0.008411058895013411,0.00892547920589277,0.009268184072181612,0.006204048897381199,0.006390757181688969,0.008127989419452206
generation_import - Import - UA,0.03287817187980181,0.034721921237680364,0.03975283622171264,0.030619212598219748,0.03665525858633919,0.043891340701200536,0.019706808088723847,0.024125025312561773,0.03490218272560742,0.0223279355015693,0.02346800171954419,0.032159108054940586,0.027500810070778245,0.029975235947567853,0.037448992037185234
generation - Hydro Run-of-river and poundage,0.057995238305578824,0.054485810456695614,0.09142524091992527,0.053197962622740305,0.04869641707323171,0.08548162825003965,0.055757655725406946,0.05437028818880208,0.08193810086807934,0.06345108981902013,0.058560917153256016,0.08606507599871839,0.059260660622589056,0.054434092788695126,0.07826443803770235
generation_import - Import - sum,0.009839534350889153,0.004499812199561347,0.011603176731645362,0.005882056227327666,0.005937596832683166,0.007809845877389307,0.006241197035978075,0.00869304587712577,0.006643609295839269,0.008774911333114687,0.00791136620672478,0.011619210562171247,0.008386911131317901,0.006187271547023556,0.008568663874973481
10m_wind_speed_mean,0.009584958748593636,0.0070350819564691846,0.0034130153211681317,0.003207054620101644,0.0035061044437534293,0.0035983343225816497,0.003914294612080425,0.003902127876664963,0.0033124056842764277,0.004988824842128451,0.005217328096769961,0.004001219680786562,0.005740973979642149,0.007329580520639865,0.004291445043980616
generation - Fossil Brown coal/Lignite,0.09253253645752557,0.09787620676282677,0.14455309924198081,0.08121020292653702,0.09031171850790269,0.13715872945939192,0.08609745658456813,0.09204029218421783,0.13753336552265683,0.10307921015005558,0.10229730394831858,0.13515967514319346,0.09203494205471362,0.09576727804169059,0.11833521287655457
generation_import - Generation - Fossil Hard coal,0.002795742715450615,0.00296878934538654,0.004333845808301703,0.001975889144976918,0.004410868582228431,0.003999391504212553,0.005275396258755791,0.006542934434296512,0.003975367121380259,0.004438732140294178,0.008215036825786228,0.004343743379162333,0.003562404954271187,0.004208666188276311,0.003318919807136979
generation_import - Generation - Fossil Gas,0.0367619167745579,0.03991812743736955,0.053278717568697176,0.03192114385811874,0.03541464839846594,0.04835722758685006,0.040267615884076804,0.04651680439262418,0.054269658632780195,0.04704568367311731,0.047651744702074214,0.0568292782427161,0.04356494416389614,0.043581571088405324,0.04659583319287049
generation_import - Import - RS,0.020855649407989403,0.019057742499368032,0.005730343111470575,0.030750832666060886,0.01972206636727424,0.009059275382594933,0.022041611706197728,0.019080208481384035,0.00901690167903871,0.0063824180131505275,0.005695194942452417,0.011445675007274985,0.008671648539772831,0.007299808997151558,0.00639897374033535
generation_import - Generation - Fossil Brown coal/Lignite,0.0873527163239196,0.08637900186469778,0.1403702120562084,0.07211492650111904,0.07257460246252595,0.12532584308669903,0.08577680098894053,0.08824700138357003,0.13005543269449846,0.10477863406203687,0.10440453861141577,0.1376163415539777,0.09166001420514658,0.08758854137570597,0.12486646219121758
generation_import - Generation - Nuclear,0.007024989992730866,0.008451557440208262,0.015852190042845906,0.011012047831725795,0.012239956480858382,0.01964592886925675,0.012976666798032966,0.01328049068603832,0.01578333566700327,0.012809822703384271,0.012062078875653241,0.016696843209385408,0.011471779425198121,0.011992745101879336,0.015430450910353102
generation_import - Generation - Wind Onshore,0.20628585814076358,0.2078869518181309,0.2917037593995919,0.1960281915976666,0.20624874256690964,0.2804914513458498,0.19835364698956254,0.2084622336558532,0.27358641752484253,0.20733434859802946,0.21197641069209203,0.27468010530713943,0.2075997231506044,0.20512205592007376,0.26194262264482676
generation - Wind Onshore,0.20705218794662505,0.20712128864601254,0.3036924012857489,0.19925573619408532,0.2034274973589927,0.29309878958179614,0.19741321795340627,0.20740055046929046,0.2830173900213267,0.21115331168589183,0.2122752255371306,0.2860127476003545,0.21451802642675466,0.21206473419407848,0.2709656217964948
load - Actual Load,0.06436803486608551,0.06291433185737696,0.08367121713940287,0.05091635975806275,0.055869260198873234,0.07258969307178631,0.060806816770287694,0.06466098569449968,0.07746572732785717,0.06531717654856038,0.06679925787611865,0.07865570600121283,0.06560863026435254,0.06491642718020012,0.07651267109881155
generation_import - Generation - Biomass,0.004047825413175815,0.004885043971577773,0.003456870215337403,0.002920571313217806,0.004709353939269931,0.00348348660791271,0.009881147643755866,0.01188235109126981,0.006546633137128083,0.005638507701965864,0.007486279369246404,0.005422220774278685,0.002904075395075779,0.003562898015058181,0.003533702723706483
100m_wind_speed_std,0.0029349544788165077,0.0036084265288054665,0.005963556170096581,0.005637623309272385,0.0024711844409134754,0.008539859590717243,0.004784456812352801,0.0026480690996151,0.00922432937642634,0.0027368970430743504,0.002449542894452861,0.01496272826925633,0.00229965428436617,0.0022400833293540925,0.008642727724873112
10m_wind_speed_std,0.003706856920318387,0.005447822075446311,0.006444391539373101,0.006970612060652456,0.009928171993728028,0.008829405784817937,0.004490879147873784,0.007664048320559232,0.003516974105132249,0.004505415513878688,0.0038753267964366385,0.0039098482146764585,0.004222831871737071,0.00543394259620618,0.0034102245155700076
