Feature,imbalance_prices - Long_t+15min,imbalance_prices - Short_t+15min,imbalance_volumes - value_t+15min,imbalance_prices - Long_t+30min,imbalance_prices - Short_t+30min,imbalance_volumes - value_t+30min,imbalance_prices - Long_t+45min,imbalance_prices - Short_t+45min,imbalance_volumes - value_t+45min,imbalance_prices - Long_t+60min,imbalance_prices - Short_t+60min,imbalance_volumes - value_t+60min,imbalance_prices - Long_t+75min,imbalance_prices - Short_t+75min,imbalance_volumes - value_t+75min
hour,0.0058176288222457516,0.0043637792776789865,0.010589954279530502,0.007425309384765569,0.006893498165365599,0.012708287023397134,0.008515707781945821,0.00828554488330019,0.015635394786295366,0.016695450929748404,0.017831725545082007,0.0223885028649529,0.026465700808970722,0.024255953265477727,0.02260286127053405
dayofweek,0.025226442045590373,0.02896663537202403,0.015263710267732676,0.03528215459058993,0.033678909806592855,0.016520833808906902,0.035719894567911976,0.03876847147801891,0.015277671009258484,0.03657530988426879,0.03732943657273426,0.022268690030501602,0.03921751071419567,0.042424301205202936,0.01592829261308725
dayofweek_sin,0.00840044839339771,0.008196648754208582,0.009529809850144375,0.010325818700395758,0.010053515967476414,0.00953375272244989,0.0101402210068336,0.009911919554800988,0.008852317854976036,0.010260119993978151,0.01087374488887508,0.011299215067011118,0.010455418480240041,0.010215666601667181,0.0053139860320152365
dayofweek_cos,0.008901413472620334,0.007124225369188934,0.0031231414852175023,0.010604897730654162,0.010542250374579452,0.0027893521472260544,0.011734683429938742,0.010879362462543214,0.0031394974386221293,0.010751935663167388,0.010110766412923113,0.004949286497796493,0.00894903536743368,0.008330032786324864,0.002942251219982381
day_of_year,0.012711936754407361,0.014476779391017772,0.003608481794180989,0.01758450482012995,0.018437617884367683,0.0031979151379035783,0.015817019289796008,0.0164828202282406,0.004679871872761396,0.014856079804960245,0.015414023293851642,0.003944516008099527,0.015599678983540798,0.01586887998405291,0.004854547874516357
is_holiday,0.0009635727192293047,0.0009725679169976047,0.0007935605323627897,0.0009465421226777835,0.001080051197483499,0.0009741320998909942,0.0010689712755323625,0.0010038242595383053,0.0006548925879278614,0.0010267481870023403,0.0009466688452507697,0.0007852565070750756,0.0008800835954743889,0.001024667000833233,0.000555403188823675
ssrd_std_j_m2,0.00808140739845112,0.00876520161812573,0.0033988577570958113,0.005273700310557615,0.004657133192966284,0.002866646248764937,0.0037817018231035035,0.003445619820206957,0.0034942008932648603,0.006073581007098255,0.006856579006936954,0.0027768638480092705,0.006722934571433143,0.0077340154669618645,0.0025292605782678947
10m_wind_speed_std,0.012669766149141068,0.016941299148417785,0.004621675685273658,0.010663240383320954,0.009784591602146975,0.00306997402062143,0.005378299671072682,0.005541036586644623,0.003207419070011383,0.0037115958202320483,0.00434253555113537,0.0034786921419445206,0.0038172215455779222,0.003869025892033733,0.006232829612921251
10m_wind_speed_mean,0.006513190308954108,0.004639698631372084,0.0032366090599007294,0.006156357984115857,0.010578776012641357,0.0025627676085641722,0.005605026837016339,0.006833520122203481,0.0025572421017377566,0.010516941825211689,0.009192570734296168,0.002579079281538725,0.005420635988633876,0.004234431728436902,0.0042602492307105425
ssrd_mean_j_m2,0.030663478407426736,0.025646559428190812,0.011004692002723459,0.019846480089856414,0.020439453589147887,0.006710725010554597,0.004982370110490592,0.004298709695780417,0.004436237329423875,0.006593068482299714,0.007436661102634389,0.003318867878205765,0.00902153375724447,0.0066245199232944285,0.004235518618650843
