Feature,imbalance_prices - Long_t+15min,imbalance_prices - Short_t+15min,imbalance_volumes - value_t+15min,imbalance_prices - Long_t+30min,imbalance_prices - Short_t+30min,imbalance_volumes - value_t+30min,imbalance_prices - Long_t+45min,imbalance_prices - Short_t+45min,imbalance_volumes - value_t+45min,imbalance_prices - Long_t+60min,imbalance_prices - Short_t+60min,imbalance_volumes - value_t+60min,imbalance_prices - Long_t+75min,imbalance_prices - Short_t+75min,imbalance_volumes - value_t+75min
hour,0.02079803384663501,0.021213817336227295,0.02431222331870231,0.02785806951340055,0.02215057658079877,0.02640281227696687,0.023060407398115785,0.015019707653336808,0.025318737599118322,0.03399273877396627,0.0304960099614691,0.030633297132342703,0.03877645911864238,0.03622282890933275,0.029114952899109085
dayofweek,0.0056993626846224285,0.006882801559400832,0.007872551751199353,0.005239792197920906,0.005921427649751422,0.006838433115000953,0.008846433100389163,0.008612414121160782,0.006602933713692437,0.005947746550133161,0.006153649167592448,0.008106961743267676,0.00920067341804679,0.00990961394907572,0.011562394103988481
dayofweek_sin,0.008140395608236758,0.004186688100062838,0.009966973272556062,0.006446629879010288,0.003426961848735914,0.008847982307865095,0.005389768823511077,0.005186940977115227,0.007483568678637312,0.005157638518659666,0.006275437227777729,0.006490133349413554,0.008801094256094075,0.006053265570168151,0.010851863965275698
dayofweek_cos,0.008371525346587078,0.0062042545519761915,0.011904468357744918,0.00796254273759405,0.005698051982391917,0.013620157471566927,0.00762010617575379,0.005978413776454545,0.014451976580356131,0.009293707654913306,0.0064451481234391395,0.013671604363284132,0.011384735197003466,0.01024324054227327,0.017599723466846625
day_of_year,0.013696431019699957,0.016737045350873815,0.017423178649463807,0.011145000431935842,0.015616666137771972,0.012711253112986015,0.009825150958031372,0.012921588356891788,0.012804635962529573,0.013233866843846044,0.01407532948111475,0.017930248818549443,0.014485745674784993,0.017153502519753602,0.01975131954229437
is_holiday,0.003366150845293305,0.003188913497615886,0.007326440465109044,0.003793683826051165,0.0028074219258160155,0.006534530417244696,0.003435120972096229,0.0032599267922523724,0.007366877094478696,0.005001046380530169,0.004322979800461326,0.009041853929957142,0.005997531631809579,0.005483434364329696,0.010457947985356441
ssrd_std_j_m2,0.008637802671888494,0.008603138254185978,0.011139100299333222,0.006904876695341954,0.005820301544372341,0.008437886554323995,0.004092967353370113,0.003282405822250439,0.005465922819761772,0.008088097250190912,0.009073991046607261,0.01628683654993074,0.007290984225079228,0.006914527155604446,0.010060221078285395
10m_wind_speed_std,0.01419694157696722,0.017797770814510273,0.014945175444474443,0.014345097822704702,0.01473243819353229,0.013033419649545977,0.004663982983107416,0.005379188908984815,0.00507324547758526,0.010884721757063743,0.013873882219450025,0.024478547737540792,0.012179379164164856,0.014097232517708334,0.020733584255576715
10m_wind_speed_mean,0.01177159164724435,0.012352445520484253,0.010483555410699409,0.01644144185658661,0.01611034804022347,0.0159120009921171,0.011963444684397473,0.008803153869670496,0.010957113213716639,0.014670048901170957,0.014265370156001154,0.0192665699479694,0.005585182229899147,0.00611822562542784,0.01087146057398786
ssrd_mean_j_m2,0.017005524595384486,0.017902732002057747,0.023710395810841875,0.02941290898886291,0.03030850055749761,0.036039472132804805,0.006518854547472528,0.008634034264674482,0.008855173694062614,0.029851245697704143,0.028322005365800578,0.032843036236590704,0.007204319190117531,0.007243698920974111,0.007635378279541328
temperature_mean_celsius,0.027213362173293718,0.018736933774111095,0.03664240567368688,0.01565754329942865,0.01038744856845733,0.010131682818171612,0.0073459640931105245,0.00746547273012402,0.012775054148787603,0.013582042243408069,0.012447816215670173,0.022566407778344,0.035562270934337,0.03255276713224703,0.030291580605931814
activated_balancing_energy_prices - Price,0.001949472971715295,0.0017777073049760474,0.0033778882548358524,0.002612331835576697,0.0022456795520320156,0.0030988346476096924,0.003219673252755456,0.0025178232046564517,0.003016243884380856,0.0020791066440942812,0.00245355391810449,0.0022278769001241017,0.0035510861038128495,0.002859479980811557,0.0049483078834917935
temperature_std_celsius,0.005375186514975212,0.004900954383764372,0.01741730442386324,0.016530597590925025,0.012900988126828451,0.030633723000515603,0.012582832421903731,0.011731481762784825,0.029987929893759428,0.007121986779345661,0.006293210846752118,0.011120370561759046,0.008027323297046678,0.006394282203986222,0.015608584677687758
100m_wind_speed_std,0.00808412270403278,0.0059008630709067806,0.013076786984038335,0.01538335419708892,0.009198226970112047,0.01603353636577958,0.004891117349385297,0.00836626194580822,0.006467076378694401,0.03140661588425428,0.0364062302079692,0.044973852312599774,0.013068068186239543,0.00999798936334264,0.015237594580967198
100m_wind_speed_mean,0.012377495820459444,0.005959164611180313,0.004479518909000035,0.019783660153623712,0.017083322564460105,0.033293984929769066,0.0072216833895431595,0.0129981135629032,0.011571873144537677,0.006225836832833011,0.006993248663306076,0.006227019076176475,0.01198716272423917,0.006323707720965103,0.007345078114654825
100m_wind_speed_mean_t-150min,0.008586010248880484,0.004451958442576142,0.009648507165122283,0.007573297948847351,0.006923061063860586,0.007774515770353219,0.0213311182367911,0.018231847812930937,0.015395745394398546,0.011320051446993603,0.011017821508899942,0.010190464268638608,0.009560656449978524,0.007353282752083032,0.009948457056569169
