Target,MAE,RMSE,R2,SMAPE,MAE_STD,RMSE_STD,R2_STD,SMAPE_STD
imbalance_prices - Long_t+15min,41.951940078735355,114.58785031348448,0.23356616437435151,56.80154064178467,0.42565062127077347,0.5964166984806132,0.007984227167673727,0.7853986033906172
imbalance_prices - Short_t+15min,41.95768348693848,114.61409551150207,0.23321592688560486,56.817984352111814,0.37298900835467824,0.5836632716376868,0.007814651664831609,0.6512022655261236
imbalance_prices - Long_t+30min,43.54059070587158,118.26917306345514,0.1835299962759018,58.319280815124515,0.35939578810061107,0.4111219355184353,0.005677419232714183,0.6458090920311788
imbalance_prices - Short_t+30min,43.518653564453125,118.19393458768388,0.18456786811351777,58.25460350036621,0.3397511013983025,0.4233983176907466,0.005842087167658274,0.6255266541391918
imbalance_prices - Long_t+45min,44.30300498962402,120.19453829628117,0.15671920776367188,58.990792694091795,0.35726355222745154,0.3425474329100375,0.004809479642428802,0.6552366595318786
imbalance_prices - Short_t+45min,44.28734436035156,120.18556676909668,0.1568452662229538,58.97429534912109,0.3324808282698057,0.3382361191086484,0.004746531253588599,0.5661197458488272
imbalance_prices - Long_t+60min,44.7796085357666,121.251862598148,0.14180034816265105,59.45259418487549,0.34250703342813205,0.2933941916825281,0.004153889077965579,0.6239994900296804
imbalance_prices - Short_t+60min,44.78366291046142,121.23039652505446,0.14210450708866118,59.45927993774414,0.3215654375424055,0.2837241507364673,0.004016800137636725,0.5951011201227886
imbalance_prices - Long_t+75min,45.203823509216306,121.94459979830391,0.13196524918079378,59.87104503631592,0.31725534092818336,0.276769788587927,0.003940858851183643,0.5821292612197129
imbalance_prices - Short_t+75min,45.181149101257326,121.96393850718934,0.13169045031070709,59.86584312438965,0.3198342030334366,0.2595419381824675,0.003696330506929355,0.59016913443319
