Target,MAE,RMSE,R2,SMAPE,MAE_STD,RMSE_STD,R2_STD,SMAPE_STD
imbalance_prices - Long_t+15min,46426.69828125,90753.26969770394,0.2803002333641052,112.90903221130371,693.0074849727433,288.16796457228116,0.004575639601195192,1.308645373643262
imbalance_prices - Short_t+15min,46540.5117578125,90801.53849608386,0.27953394055366515,112.98672798156738,660.2856540747781,298.3217461101589,0.0047402493151338385,1.3023195449250895
imbalance_volumes - value_t+15min,16.679144763946532,23.052029660339123,0.5354444032907486,90.84481224060059,0.3888659141700573,0.45574673793477066,0.01861107357505264,1.229789466161804
imbalance_prices - Long_t+30min,50355.6758984375,96505.91271452814,0.1861632776260376,117.89726020812988,746.2295749817272,346.8674903818817,0.00585493527968949,1.4677683836736266
imbalance_prices - Short_t+30min,50503.4205078125,96611.56873408964,0.18437828838825226,118.01365264892578,833.4119675578048,380.4664745692715,0.006432961823184451,1.4808226639170767
imbalance_volumes - value_t+30min,18.561948280334473,26.259365439434255,0.3972843152284622,95.65542984008789,0.32148126994429516,0.3857030974453978,0.017859338461966506,1.3907879618628898
imbalance_prices - Long_t+45min,52967.256328125,99393.69290911053,0.1367262977361679,121.2534284210205,888.5505110467217,356.1230818514693,0.006193889757861397,1.3365946666503612
imbalance_prices - Short_t+45min,53086.7969140625,99525.81139501669,0.13442910373210906,121.26870216369629,875.9861091976468,367.92641051740776,0.0064057672888674375,1.3149487966363855
imbalance_volumes - value_t+45min,20.1393204498291,28.836086983720115,0.2732151448726654,98.98982215881348,0.36197091012944044,0.39668679905648185,0.020085526668823482,1.562395219795279
imbalance_prices - Long_t+60min,55519.9541015625,101903.89487545427,0.09257117986679077,124.99275848388672,959.8747771305461,322.07814635765516,0.005742583910164297,1.194004077261586
imbalance_prices - Short_t+60min,55735.6042578125,102046.9192683241,0.09002035677433014,125.13554695129395,990.1787883638121,354.6694293771236,0.006333592762753393,1.1504270582176253
imbalance_volumes - value_t+60min,22.087936134338378,31.679250069121604,0.12286182701587677,104.37175857543946,0.38056179286612435,0.39133023145563617,0.02178594015752481,2.042081667991892
imbalance_prices - Long_t+75min,57447.8352734375,103747.51761288263,0.059439135789871214,127.84366195678712,989.6550702488066,291.74736434811985,0.005296774115832462,1.0328316044805763
imbalance_prices - Short_t+75min,57617.5909765625,103848.38944446156,0.057609614133834836,127.85397148132324,948.331013807121,285.04629702295415,0.005177497210713682,1.0339029985348827
imbalance_volumes - value_t+75min,23.076334438323975,33.29745146075642,0.031025009751319884,107.19578247070312,0.3126739015456337,0.31321932495264326,0.018298999779782516,2.072074809756303
