Target,MAE,RMSE,R2,SMAPE,MAE_STD,RMSE_STD,R2_STD,SMAPE_STD
imbalance_prices - Long_t+15min,96.08153297424316,144.04291076819365,0.2052254718542099,104.78703407287598,4.941133892722854,3.9806703370723016,0.043363843705393625,1.1593851193357372
imbalance_prices - Short_t+15min,95.6244694519043,143.95735233141153,0.20604559242725373,104.84568168640136,5.487551799093191,4.365799115550503,0.047760768896130734,1.1880316197035858
imbalance_volumes - value_t+15min,68.59458751678467,90.56788620116444,0.07344013214111328,125.6556753540039,1.56299879157413,2.0913035591140487,0.0431141840079917,4.517819489266513
imbalance_prices - Long_t+30min,99.43143127441407,148.18958860019455,0.15908368706703185,106.43502281188965,4.376237932869888,3.3121683851104766,0.03750192778760928,0.9711039453105968
imbalance_prices - Short_t+30min,99.66931213378906,148.38103373344208,0.15685897529125215,106.5536710357666,4.740893925257939,3.5099551601679853,0.03983364878491139,1.0763804837874724
imbalance_volumes - value_t+30min,71.63439582824707,94.42121593776221,-0.007170801758766174,130.34444313049318,1.6971832456985971,2.4775488718894483,0.053540624957745975,3.5031675244765497
imbalance_prices - Long_t+45min,101.06037063598633,150.3746824677827,0.13424440681934358,107.57738975524903,3.901940485800507,2.852970912232566,0.03290665329525506,1.2492084958695218
imbalance_prices - Short_t+45min,101.10260215759277,150.41786318730476,0.13372262477874755,107.63011016845704,4.145135586292682,2.9638262763768397,0.034198695644487416,1.173601984126465
imbalance_volumes - value_t+45min,73.71485511779785,96.92449233707333,-0.061576066613197325,133.24200553894042,2.1271841753045764,3.111769185887719,0.06957396890508703,2.9719711410983636
imbalance_prices - Long_t+60min,102.05257743835449,152.01345619849937,0.11531451642513275,108.36258476257325,3.933373778478499,2.7751502311851066,0.03248993632677066,1.3010676131715246
imbalance_prices - Short_t+60min,102.72040306091309,152.43323045822308,0.11036290228366852,108.43058181762696,4.14530732114229,3.046696808882476,0.03582823104607284,1.2488898612909063
imbalance_volumes - value_t+60min,74.68222732543946,97.98069402483803,-0.08514249920845032,135.223910446167,2.6775135647418917,3.738101536686355,0.08508768085896032,2.7040702596204973
imbalance_prices - Long_t+75min,102.88163864135743,153.25677304057993,0.10088102102279663,108.79132438659668,3.7407111016941443,2.406094475627827,0.02844014942002048,1.1998204196146864
imbalance_prices - Short_t+75min,102.90842445373535,153.31108527909595,0.1002753233909607,108.88208435058594,3.316867455154171,2.2283370513721854,0.026234413914356287,1.4935548066626427
imbalance_volumes - value_t+75min,75.25426223754883,98.56557684205569,-0.09825906336307526,136.63377487182618,2.8149361868690055,3.8701117448749724,0.08896394911299901,2.4827307283543716
