Target,MAE,RMSE,R2,SMAPE,MAE_STD,RMSE_STD,R2_STD,SMAPE_STD
imbalance_prices - Long_t+15min,49.74814174652099,67.98509805507548,0.4114773732423782,63.37467510223389,0.3039288283275749,0.21839717164313932,0.0037816997738094583,0.2514999981908887
imbalance_prices - Short_t+15min,49.75527553558349,67.98920970570971,0.41140630304813386,63.388949432373046,0.3014865238932067,0.21624755973149937,0.003744060468881521,0.2529338026840327
imbalance_volumes - value_t+15min,30.437219505310058,41.05618586909759,0.00884767234325409,141.2582957458496,0.1441250507962509,0.15794727314789533,0.007631217506245154,0.9642475612628779
imbalance_prices - Long_t+30min,52.67558345794678,70.78068234618323,0.36208354830741885,65.81238082885743,0.28568928756402134,0.2280324455204829,0.004109655889929898,0.25242532831264447
imbalance_prices - Short_t+30min,52.66327747344971,70.77897116173445,0.36211492657661437,65.7845783996582,0.2828562257600011,0.21863853686416518,0.003941931906754152,0.24453437493829994
imbalance_volumes - value_t+30min,30.441333332061767,41.14626881416155,0.004284136891365051,141.91054901123047,0.13463344874488747,0.14271768222031997,0.006912607151603339,0.7896129488831694
imbalance_prices - Long_t+45min,54.963494567871095,73.03897755213063,0.3207228672504425,67.60523414611816,0.30471603720172835,0.2382171219056395,0.0044320540696522965,0.26598779399189465
imbalance_prices - Short_t+45min,54.959984893798826,73.03791226352384,0.320741485953331,67.615556640625,0.2949895131937106,0.2571879143656926,0.004786467256577783,0.2583044823860022
imbalance_volumes - value_t+45min,30.599985466003417,41.36307271365656,-0.006239136457443237,142.88241119384764,0.1453827524306613,0.15837573128388066,0.007710109976342571,0.7790829051785526
imbalance_prices - Long_t+60min,57.47326591491699,75.20377612274724,0.2798548251390457,69.72589752197266,0.2795711457818421,0.25298268534663426,0.004846963061692841,0.264108899783186
imbalance_prices - Short_t+60min,57.48394218444824,75.21169280914664,0.2797038888931274,69.73449378967285,0.28700741846748445,0.24203147664797847,0.004635735564712071,0.27147111606736096
imbalance_volumes - value_t+60min,31.00005895614624,42.00379981304617,-0.03771057605743408,144.4251936340332,0.1976140803660468,0.2145648665327617,0.010612653918165538,0.7875458365965872
imbalance_prices - Long_t+75min,59.14487308502197,76.68900539795195,0.2511210078001022,71.08116355895996,0.31544785490938176,0.29881912550519263,0.005837024427233473,0.298493073782958
imbalance_prices - Short_t+75min,59.16990947723389,76.70751304460407,0.250759551525116,71.09656845092773,0.3252059002306557,0.29832071043344677,0.005829048277542467,0.29219320728657694
imbalance_volumes - value_t+75min,31.045380191802977,42.06767523082697,-0.040931777954101564,145.35003677368164,0.18391313529636955,0.21161347667783062,0.010485747095205753,0.8439239498683684
